Date,Hour 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/01,1169.5696562062,1140.1736081422,1127.9409112202,1119.5226423932002,1118.0685459553001,1141.8833571513,1324.1248551494002,1336.5348789824,1517.3328352785,1720.7300510024997,1979.4216304794998,2022.1257616925002,2044.3330635794998,2042.3895803295,2049.9380624584996,2052.3485630034997,2031.3615480464998,1943.7299875964,1882.1779943663,1856.3273572623002,1708.8151262463,1465.8565785603,1304.8831975332,1235.1844586032,Sat
01/02,1200.2309553533998,1179.5916062814,1169.7997218124,1186.7823956584,1361.6720186469001,1395.9280545909,1782.1288167449,1957.8026784349,2124.4872358789,2456.7586017779004,2628.3552879749,2663.5536233911,2639.2300263200004,2677.1028284274003,2686.7351455330004,2690.7574546051,2694.0282080384004,2683.5519053125,2134.5005989089,1908.3306623529,1501.7183048829002,1410.2619586629003,1266.8820247054,1272.7354293593999,Sun
01/03,1270.1036598823998,1298.1541200933998,1376.1815771824,1568.5683904194,1901.1114787428999,1921.0248308059,2378.8706237733,2566.6074253284,2615.3372339097,2645.7287862843,2674.7254053791003,2685.4113182733,2652.2063802236003,2683.6465764661,2684.1184833589004,2652.1791397798,2658.1703068176002,2674.913911052,2216.6513009019,2198.0242229539003,1929.3959776409001,1890.4993400059002,1773.5470557653998,1775.7896026544,Mon
01/04,1754.3057224153997,1754.2273317063998,1751.3145767733997,1747.7917136574,1921.6070536639,1921.8865070891002,2378.7011430032,2557.8728460455,2598.6762610886003,2626.2465371095004,2648.3970126375,2658.8136498900003,2627.1963539922003,2665.752528755,2676.1898380340003,2682.222540688,2695.450633942,2704.295194586,2233.8729038899,2209.4205002849003,1924.0634711359,1832.0812914029002,1645.7080162234,1581.6293282954,Tue
01/05,1495.1458290993999,1435.1712836764,1390.1120362743998,1358.6368137864,1497.6160235179002,1513.4909466831,1935.1850797939,2160.1134637837004,2326.6701335121,2555.839004535,2631.1334916140004,2672.8797861890002,2667.246120811,2716.017010134,2720.0686451230004,2716.4204830490003,2736.3044463490005,2724.279557296,2231.9642423209,2103.5679796059,1702.5681252569,1562.4869307549002,1370.4988039114,1318.1824468824,Wed
01/06,1300.5041104663999,1332.4756790283998,1379.7278709664,1373.3088798213998,1472.1236831319002,1470.5418344417,1908.2531584995002,2178.6931668368998,2503.107578082,2631.9671502560004,2698.205957479,2717.74742585,2676.748198407,2692.2873636980003,2678.9525981610004,2684.1887685440006,2723.5561730340005,2758.594692355,2270.2446455988998,2236.0684006159,1954.9930339919001,1904.4609315059,1774.8993969583998,1768.9458133383998,Thu
01/07,1745.0216868753998,1745.5243776594,1744.8553045804,1749.9096569153999,1778.2391928455,1786.3472843314998,1929.2849240955,2123.6762715934,2149.4517152309,2360.2118466018,2392.8968557718,2369.4897128432003,2327.3305962618,2304.9438900559003,2307.7147671554003,2177.5759940108996,2215.7784351949003,2220.8155653498998,2135.4925755709,2095.5788519829,1849.3752921955,1832.4469628834997,1804.6158153394,1793.8140662964,Fri
01/08,1737.3482605141999,1728.7078814272002,1683.7994702132,1650.4579750432001,1633.6731129813,1579.5019631293,1666.6256538084,1651.5160442064,1868.7887811255002,1973.4948082094998,2014.1192806355,2040.9292640595002,2051.8183682335,2047.6199210265,2057.9699261385,2067.6840733165,2051.3910022965,1954.5652664053998,1870.1319684273,1840.7702978113002,1696.0132010373002,1599.0975626033,1541.4924318372,1557.8841239892001,Sat
01/09,1655.9681450074,1706.8451383433999,1723.6882002434,1743.6886457163998,1920.2364989179,1927.9922975538998,2391.4304361732,2581.3284889365,2630.8240748243,2665.8980987706004,2692.9773274939002,2729.3506148330002,2675.6249384867,2676.0492639549,2712.9281138258,2757.3856925733003,2771.2484624466,2779.6229825983,2312.4045580929,2291.5569742149,2011.3409723489,1948.8254124088999,1811.1893285154001,1797.5389261103999,Sun
01/10,1771.1270493214,1766.3051449434,1758.0805620903998,1756.8636592843998,1936.6961284189,1935.789175951,2382.9902269968,2558.2597018849,2599.7803747397,2629.3034044574,2655.9182884106003,2664.0117000277,2635.415999194,2670.348754252,2686.0597948490004,2690.609342607,2697.962119508,2707.44277334,2225.8350136209,2190.7990426719,1914.8396101779,1822.9016845519,1593.3886253924,1470.3117068893998,Mon
01/11,1374.6966335604,1341.0291970823998,1332.3707703254,1312.0006595794,1504.2737017779002,1628.0717094146,2126.1932715790003,2357.29380101,2483.9778156544003,2599.819055279,2624.981112457,2638.237041153,2604.6215432730005,2642.1948717220002,2656.8803971760003,2666.383151594,2680.7874517530004,2682.315782528,2117.5946661359,1820.7334834609,1439.5950365789001,1335.9493803289001,1192.2201424314,1187.1505561634,Tue
01/12,1152.0035608184,1150.3478825184,1149.9563462224,1142.1675877674,1322.0205530389,1376.2864977919,1815.8334563302,2035.9205480363,2304.745888168,2605.004327728,2672.649171853,2708.7397568310002,2685.255611203,2710.2934715650003,2712.8844687900005,2720.1210158380004,2736.0755172450004,2760.339825288,2254.1127786839,2186.9088094339,1794.4491234539,1735.2954283399001,1636.1056519424,1635.4050844874,Wed
01/13,1603.0696574274,1596.2591917764,1543.3789548483999,1449.0634336614,1581.4976073199002,1667.3797796943,2199.0808616782,2489.405536879,2571.05858045,2633.5997155740006,2691.109644225,2717.864821147,2683.963343798,2709.1530567300006,2707.699892935,2715.7879719250004,2727.63792758,2740.576515113,2264.7031794079,2236.7507775909003,1963.7151311049,1923.2681675179,1803.1854055774,1808.9438036013998,Thu
