Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 30,-0.6,-1,-1.3,-1.7,-1.5,-1.3,-1.1,0.6,2.2,3.9,6.1,8.4,10.6,10,9.5,8.9,7.8,6.7,5.6,4.5,3.3,2.2,1.3,0.3
Jan 31,-0.6,-1.3,-2.1,-2.8,-3,-3.1,-3.3,-2,-0.7,0.6,2.8,5,7.2,7.8,8.3,8.9,8.2,7.4,6.7,6.3,6,5.5,5.1,4.6
Feb 1,4.2,3.7,3.3,2.8,2.8,2.2,2.2,1.7,1.7,2.2,2.2,2.2,2.2,1.7,2.2,1.7,1.1,1.1,0.6,0.6,0,-0.6,-0.6,-0.6
Feb 2,-0.6,-0.6,-0.6,0,0,0,0,0,0,0,0,0.6,1.1,-0.6,-1.1,-1.7,-2.2,-2.8,-3.3,-4.4,-4.4,-6.1,-6.1,-6.7
Feb 3,-6.7,-7.2,-7.2,-7.2,-7.2,-6.7,-7.2,-7.2,-6.7,-6.1,-5.6,-4.4,-3.3,-2.2,-2.2,-1.7,-1.7,-2.2,-2.8,-2.8,-2.8,-3.3,-3.3,-2.8
Feb 4,-2.8,-3.3,-3.9,-5,-5,-5,-4.4,-3.3,-3.3,-1.1,1.1,3.3,4.4,5,6.7,7.2,6.7,5.6,2.8,1.7,0.6,1.1,0,0.6
Feb 5,1.1,1.1,1.1,1.7,1.1,1.1,1.1,1.1,1.1,1.7,2.2,2.8,3.3,3.9,3.3,3.3,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Feb 6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,2.8,2.2,2.2,2.2,2.8,2.8,2.8,2.2,2.2,1.1,0.6,0,-0.6,-1.1,-1.7,-2.2
Feb 7,-2.8,-3.3,-4.4,-4.4,-5,-6.1,-7.2,-7.2,-5.6,-2.8,-1.7,-0.6,0.6,0.6,1.7,2.8,0.6,-1.1,-2.2,-4.4,-4.4,-5.6,-6.7,-7.8
Feb 8,-8.3,-8.9,-10,-10.6,-11.1,-11.1,-11.1,-11.1,-8.3,-7.2,-5.6,-3.3,-2.2,-1.1,0,0,0.6,-1.1,-2.8,-5,-5.6,-5,-5.6,-6.7
Feb 9,-6.1,-7.2,-8.3,-7.8,-8.9,-9.4,-9.4,-9.4,-7.2,-4.4,-1.7,0,2.2,3.3,4.4,4.4,5,3.3,1.1,0,0,-1.7,-2.2,-1.7
Feb 10,-2.8,-2.8,-5,-2.2,-2.2,-2.8,-3.3,-3.9,-0.6,2.2,3.9,6.7,9.4,10,11.7,12.8,11.7,10.6,6.7,2.2,1.1,-1.1,0,0
Feb 11,-0.6,0,-1.1,0.6,-0.6,0,1.1,2.2,2.8,3.9,3.9,4.4,4.4,10,9.4,10,10.6,9.4,7.8,7.8,6.7,4.4,0,0
Feb 12,-0.6,-1.7,-2.2,-2.8,-2.8,-3.3,-3.3,-3.3,-3.9,-3.9,-4.4,-5,-4.4,-4.4,-5,-5,-5.6,-5.6,-5.6,-5.6,-5,-5,-5,-4.4
Feb 13,-3.9,-3.9,-3.9,-4.4,-5.6,-7.8,-8.3,-8.9,-8.3,-6.7,-5.6,-4.4,-3.3,-2.8,-1.7,-1.1,-1.1,-1.7,-3.3,-5,-6.1,-5.6,-6.7,-3.9
Feb 14,-5,-7.8,-7.2,-6.1,-7.8,-6.7,-7.2,-5,-2.8,-1.7,-0.6,0.6,0.6,2.2,2.8,3.3,3.3,2.2,0,-0.6,-1.1,-1.1,-1.1,-1.7
Feb 15,-2.8,-5,-8.3,-8.9,-7.8,-9.4,-8.3,-10.6,-6.7,-3.9,-2.8,-1.7,-1.1,-0.6,-0.6,-0.6,-0.6,-2.8,-3.3,-5,-5,-6.1,-8.3,-8.9
Feb 16,-9.4,-10.6,-11.1,-12.2,-13.9,-14.4,-14.4,-13.9,-10,-5,-3.3,-1.1,0,1.7,3.3,3.9,4.4,2.8,0.6,-0.6,-0.6,-1.1,0,1.1
