Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Feb 28,0,0,0,0,0,0,0,42,204,410,581,705,760,752,670,530,341,134,19,0,0,0,0,0
Mar 1,0,0,0,0,0,0,0,23,101,146,234,292,301,295,273,250,172,45,8,0,0,0,0,0
Mar 2,0,0,0,0,0,0,0,37,120,222,314,335,389,535,588,395,358,154,28,0,0,0,0,0
Mar 3,0,0,0,0,0,0,0,48,220,361,516,514,708,594,575,402,292,130,19,0,0,0,0,0
Mar 4,0,0,0,0,0,0,0,40,189,383,548,603,729,702,632,512,325,128,19,0,0,0,0,0
Mar 5,0,0,0,0,0,0,0,55,227,445,612,738,787,776,697,557,369,156,26,0,0,0,0,0
Mar 6,0,0,0,0,0,0,0,53,240,449,622,742,799,784,700,506,362,154,25,0,0,0,0,0
Mar 7,0,0,0,0,0,0,0,58,242,456,625,747,801,788,656,556,335,114,21,0,0,0,0,0
Mar 8,0,0,0,0,0,0,0,38,79,272,241,386,241,263,312,235,152,74,17,0,0,0,0,0
Mar 9,0,0,0,0,0,0,0,19,78,211,313,645,709,731,616,513,290,141,23,0,0,0,0,0
Mar 10,0,0,0,0,0,0,0,49,240,473,621,559,343,272,285,282,339,147,30,0,0,0,0,0
Mar 11,0,0,0,0,0,0,1,27,94,184,246,315,678,292,331,213,294,45,13,0,0,0,0,0
Mar 12,0,0,0,0,0,0,1,33,191,272,577,741,792,715,684,361,234,125,34,0,0,0,0,0
Mar 13,0,0,0,0,0,0,3,77,283,488,632,735,350,269,329,405,378,48,21,0,0,0,0,0
Mar 14,0,0,0,0,0,0,0,27,91,106,168,200,351,326,339,278,203,87,20,0,0,0,0,0
Mar 15,0,0,0,0,0,0,3,82,286,494,669,784,841,827,746,598,402,184,35,0,0,0,0,0
Mar 16,0,0,0,0,0,0,0,58,230,319,434,595,585,542,495,360,166,110,15,0,0,0,0,0
Mar 17,0,0,0,0,0,0,5,84,243,470,678,799,861,840,757,608,415,164,8,0,0,0,0,0
Mar 18,0,0,0,0,0,0,4,84,287,500,675,799,854,836,747,599,398,179,33,0,0,0,0,0
Mar 19,0,0,0,0,0,0,8,105,318,530,702,816,875,854,765,615,421,185,38,0,0,0,0,0
Mar 20,0,0,0,0,0,0,9,110,325,430,670,632,763,782,727,328,324,104,22,0,0,0,0,0
Mar 21,0,0,0,0,0,0,3,60,144,240,295,217,234,224,221,178,117,61,25,0,0,0,0,0
Mar 22,0,0,0,0,0,0,5,36,158,319,329,278,322,309,375,252,104,58,16,0,0,0,0,0
Mar 23,0,0,0,0,0,0,9,77,187,265,334,371,405,388,353,327,206,113,34,0,0,0,0,0
Mar 24,0,0,0,0,0,0,6,104,151,179,285,588,849,766,516,454,190,85,31,0,0,0,0,0
Mar 25,0,0,0,0,0,0,4,89,122,451,348,436,674,556,571,382,211,153,36,0,0,0,0,0
Mar 26,0,0,0,0,0,0,14,122,333,540,709,829,875,856,768,620,393,133,31,0,0,0,0,0
Mar 27,0,0,0,0,0,0,9,100,303,442,555,596,547,192,233,222,143,130,21,0,0,0,0,0
Mar 28,0,0,0,0,0,0,15,55,112,254,307,333,396,430,345,304,177,81,24,0,0,0,0,0
Mar 29,0,0,0,0,0,0,14,62,138,213,287,320,312,332,336,264,180,162,25,0,0,0,0,0
Mar 30,0,0,0,0,0,0,18,149,222,318,572,704,538,563,659,564,396,189,41,0,0,0,0,0
Mar 31,0,0,0,0,0,0,14,41,154,222,283,194,222,215,330,288,320,188,33,0,0,0,0,0
Apr 1,0,0,0,0,0,0,25,148,309,527,661,650,797,602,682,334,274,188,43,0,0,0,0,0
Apr 2,0,0,0,0,0,0,25,138,310,516,462,565,314,669,617,468,425,226,50,0,0,0,0,0
Apr 3,0,0,0,0,0,0,10,53,127,204,321,329,409,367,350,301,225,121,30,0,0,0,0,0
Apr 4,0,0,0,0,0,0,35,185,406,466,514,905,856,847,776,630,446,178,50,0,0,0,0,0
Apr 5,0,0,0,0,0,0,29,170,388,596,765,871,918,898,810,559,414,188,35,0,0,0,0,0
Apr 6,0,0,0,0,0,0,9,58,99,156,171,205,233,222,225,179,132,76,20,0,0,0,0,0
Apr 7,0,0,0,0,0,0,27,190,416,619,788,837,949,919,831,675,476,253,59,0,0,0,0,0
Apr 8,0,0,0,0,0,0,42,206,431,640,806,914,958,934,841,656,452,265,60,0,0,0,0,0
Apr 9,0,0,0,0,0,0,19,96,314,517,666,846,845,914,824,655,433,220,48,0,0,0,0,0
Apr 10,0,0,0,0,0,0,30,128,287,368,503,561,689,601,195,117,119,62,28,0,0,0,0,0
Apr 11,0,0,0,0,0,0,28,97,172,266,376,543,847,816,575,533,380,185,54,0,0,0,0,0
Apr 12,0,0,0,0,0,0,41,207,431,555,785,852,861,877,851,691,496,279,70,3,0,0,0,0
Apr 13,0,0,0,0,0,0,28,166,353,578,653,697,842,925,729,495,370,100,32,0,0,0,0,0
Apr 14,0,0,0,0,0,0,23,105,275,573,660,815,392,606,314,223,120,78,21,1,0,0,0,0
Apr 15,0,0,0,0,0,0,25,97,223,341,432,586,893,755,734,565,392,159,37,1,0,0,0,0
Apr 16,0,0,0,0,0,0,37,191,390,617,777,887,921,892,800,651,450,232,35,0,0,0,0,0
Apr 17,0,0,0,0,0,0,25,128,184,225,580,586,160,337,204,155,142,75,25,3,0,0,0,0
Apr 18,0,0,0,0,0,0,44,189,352,580,749,849,861,871,800,662,465,223,53,0,0,0,0,0
