Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Feb 28,0,0,0,0,0,0,17,50,295,492,341,384,538,621,300,205,128,25,0,0,0,0,0,0
Mar 1,0,0,0,0,0,0,8,47,163,293,297,202,223,313,177,131,79,23,0,0,0,0,0,0
Mar 2,0,0,0,0,0,0,18,52,117,276,198,228,224,388,316,235,146,41,0,0,0,0,0,0
Mar 3,0,0,0,0,0,0,24,154,345,535,664,741,768,758,631,439,238,56,0,0,0,0,0,0
Mar 4,0,0,0,0,0,0,29,171,391,593,738,828,846,789,517,451,234,60,0,0,0,0,0,0
Mar 5,0,0,0,0,0,0,26,167,381,588,742,790,783,747,620,321,202,51,0,0,0,0,0,0
Mar 6,0,0,0,0,0,0,15,70,166,382,327,526,536,507,516,416,214,44,0,0,0,0,0,0
Mar 7,0,0,0,0,0,0,12,96,290,519,442,408,223,406,247,352,59,30,0,0,0,0,0,0
Mar 8,0,0,0,0,0,0,19,89,201,301,372,416,321,329,268,174,83,48,0,0,0,0,0,0
Mar 9,0,0,0,0,0,0,14,108,145,238,384,664,693,629,543,379,226,59,0,0,0,0,0,0
Mar 10,0,0,0,0,0,0,15,153,306,548,762,723,704,681,444,365,232,66,0,0,0,0,0,0
Mar 11,0,0,0,0,0,0,24,92,200,256,409,578,499,437,586,376,172,58,2,0,0,0,0,0
Mar 12,0,0,0,0,0,0,23,101,228,263,394,510,236,272,174,108,125,37,1,0,0,0,0,0
Mar 13,0,0,0,0,0,0,36,101,231,499,686,762,700,717,517,284,228,67,4,0,0,0,0,0
Mar 14,0,0,0,0,0,0,28,120,154,200,288,423,319,269,258,263,95,42,0,0,0,0,0,0
Mar 15,0,0,0,0,0,0,14,97,236,251,169,208,229,200,323,241,88,26,1,0,0,0,0,0
Mar 16,0,0,0,0,0,0,40,93,191,266,359,237,228,205,349,245,94,54,3,0,0,0,0,0
Mar 17,0,0,0,0,0,0,42,224,449,645,742,816,821,815,687,505,226,85,4,0,0,0,0,0
Mar 18,0,0,0,0,0,0,51,203,440,512,750,827,863,778,710,509,147,59,3,0,0,0,0,0
Mar 19,0,0,0,0,0,0,49,193,266,496,429,420,804,829,670,527,309,92,7,0,0,0,0,0
Mar 20,0,0,0,0,0,0,43,214,442,651,800,886,897,833,699,509,281,73,3,0,0,0,0,0
Mar 21,0,0,0,0,0,0,51,243,475,678,768,734,851,793,718,523,261,80,4,0,0,0,0,0
Mar 22,0,0,0,0,0,0,45,210,454,637,764,889,826,826,616,509,269,75,3,0,0,0,0,0
Mar 23,0,0,0,0,0,0,47,239,463,658,747,792,508,479,560,309,133,71,3,0,0,0,0,0
Mar 24,0,0,0,0,0,0,23,195,364,549,660,453,688,352,401,506,269,72,5,0,0,0,0,0
Mar 25,0,0,0,0,0,0,30,97,237,278,747,871,884,781,635,471,169,34,5,0,0,0,0,0
Mar 26,0,0,0,0,0,0,25,122,215,284,329,405,468,596,268,270,136,53,4,0,0,0,0,0
Mar 27,0,0,0,0,0,0,54,191,425,507,559,797,710,675,658,506,302,80,8,0,0,0,0,0
Mar 28,0,0,0,0,0,0,44,106,214,275,363,364,303,230,272,139,84,30,2,0,0,0,0,0
Mar 29,0,0,0,0,0,1,44,146,232,316,508,786,566,576,336,175,70,49,5,0,0,0,0,0
Mar 30,0,0,0,0,0,0,48,124,419,645,678,576,676,668,608,265,72,42,2,0,0,0,0,0
