Month,Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/05  17:00:00,131.52746550483778,99.04317400489339,23.751164813149177,8.733126686711342
 01/05  18:00:00,137.67613700692107,106.57529225727163,23.751164813149177,7.349679936640018
 01/05  19:00:00,138.67952316970522,110.04405232773134,23.751164813149177,4.884306028684951
 01/05  20:00:00,133.51912763604918,112.80044939944837,15.834109875432786,4.884568361195968
 01/05  21:00:00,145.533092500404,124.81414365134518,15.834109875432786,4.884838973821674
 01/05  22:00:00,144.08211394174265,127.33499234449772,11.875582406574589,4.871539190474641
 01/05  23:00:00,144.0793292751224,133.72493479453968,7.917054937716393,2.4373395427852795
 01/05  24:00:00,148.17531800728963,139.34688300968264,3.9585274688581964,4.8699075287767295
 01/06  01:00:00,145.30758273602598,138.85403341276265,1.5834109875432787,4.87013833554114
 01/06  02:00:00,145.20491795452023,138.75209063689732,1.5834109875432787,4.86941633018026
 01/06  03:00:00,144.06219169319388,140.0408513379204,1.5834109875432787,2.437929367721814
 01/06  04:00:00,149.8042818053342,143.35144948395285,1.5834109875432787,4.869421333798932
 01/06  05:00:00,151.37778953985762,144.92440014455167,1.5834109875432787,4.869978407527861
 01/06  06:00:00,231.86038530071332,225.46448333161035,3.9585274688581964,2.4373745002419693
 01/06  07:00:00,172.82265852256785,160.0355925837116,7.917054937716393,4.870011001000095
 01/06  08:00:00,161.4411933686694,142.19150832632693,11.875582406574589,7.374102635684027
 01/06  09:00:00,156.50326662355423,131.25964449080385,15.834109875432786,9.409512257457356
 01/06  10:00:00,144.11744716249362,124.32254626083606,11.875582406574589,7.9193184950270785
 01/06  11:00:00,151.01337366136752,118.74014636618918,19.79263734429098,12.480589950775565
 01/06  12:00:00,144.7530948270795,112.45373296841116,19.79263734429098,12.5067245144053
 01/06  13:00:00,138.1280287815334,108.38568506847822,19.79263734429098,9.949706368875988
 01/06  14:00:00,132.4776845087002,104.1358522897942,15.834109875432786,12.507722343473244
 01/06  15:00:00,124.77330473489688,100.41560333222573,11.875582406574589,12.48211899615248
 01/06  16:00:00,127.75875205558901,101.96125919022036,15.834109875432786,9.963382989824064
 01/06  17:00:00,137.6385645205538,103.97882106382986,23.751164813149177,9.90857864357477
 01/06  18:00:00,135.60997768354332,106.95728056389271,23.751164813149177,4.901532306669147
 01/06  19:00:00,137.14868819764936,108.51239979169411,23.751164813149177,4.885123592917895
 01/06  20:00:00,133.807380103519,110.65040229458992,15.834109875432786,7.3228679336080935
 01/06  21:00:00,142.86137490588354,122.14379251530055,15.834109875432786,4.883472515345863
 01/06  22:00:00,139.0017343346249,124.68725547847983,11.875582406574589,2.438896449679506
 01/06  23:00:00,143.4650034556858,130.678238995721,7.917054937716393,4.869709522220474
 01/06  24:00:00,141.530005943106,132.70208544261334,3.9585274688581964,4.869393031522649
 01/07  01:00:00,139.27681080984732,134.0406385373754,1.5834109875432787,3.652761285029286
 01/07  02:00:00,140.3065773886265,135.06894968072945,1.5834109875432787,3.654216720426443
 01/07  03:00:00,142.42029028932194,135.96778844576588,1.5834109875432787,4.869090855805935
 01/07  04:00:00,143.1154247194095,136.66219828489594,1.5834109875432787,4.869815446987077
 01/07  05:00:00,138.88426867746222,134.86362888973892,1.5834109875432787,2.437228800115726
 01/07  06:00:00,145.2774503361442,136.44909388924276,3.9585274688581964,4.869828978099143
 01/07  07:00:00,133.15669378537984,120.37006499516492,7.917054937716393,4.869573852414661
 01/07  08:00:00,213.35166396883113,196.6067722983069,11.875582406574589,4.869309264089371
 01/07  09:00:00,180.10166428911992,159.37165969436342,15.834109875432786,4.8958947191839615
 01/07  10:00:00,163.68808048580914,144.43424389852564,11.875582406574589,7.378254180848663
 01/07  11:00:00,165.82904668595003,138.62394644491425,19.79263734429098,7.412462896660944
 01/07  12:00:00,163.0405841890376,133.36579607211746,19.79263734429098,9.882150772601188
 01/07  13:00:00,156.84189711066264,129.6375485344367,19.79263734429098,7.411711231934949
 01/07  14:00:00,152.60681221911676,126.89346770690656,15.834109875432786,9.879234636777394
 01/07  15:00:00,145.43765977666357,126.15088486983272,11.875582406574589,7.411192500172377
 01/07  16:00:00,120.2938085946289,94.58064654308215,15.834109875432786,9.879052175946251
 01/07  17:00:00,128.0655851217219,96.90223593939822,23.751164813149177,7.4121843692024605
 01/07  18:00:00,132.19586317843005,101.07177012768987,23.751164813149177,7.372928237535097
 01/07  19:00:00,140.574043524909,111.95331599230936,23.751164813149177,4.869562719646136
 01/07  20:00:00,132.20380095816742,113.93169024314257,15.834109875432786,2.438000839508187
 01/07  21:00:00,147.71480938078238,127.01109680144997,15.834109875432786,4.869602703983482
 01/07  22:00:00,145.78371896105364,129.03800886840952,11.875582406574589,4.870127686097496
 01/07  23:00:00,144.28260737320682,133.92810622991425,7.917054937716393,2.4374462054811645
 01/07  24:00:00,144.91566930334434,136.0869980073614,3.9585274688581964,4.870143827124791
 01/08  01:00:00,144.66561424250185,138.21181207360303,1.5834109875432787,4.8703911813722875
 01/08  02:00:00,146.5036549087726,140.0505648307993,1.5834109875432787,4.869679090390891
 01/08  03:00:00,146.2126669421088,142.19118076281845,1.5834109875432787,2.4380751916408343
 01/08  04:00:00,150.56477713799285,144.11165473083724,1.5834109875432787,4.86971141946141
 01/08  05:00:00,149.7612412829739,143.30753225062048,1.5834109875432787,4.870298044882825
 01/08  06:00:00,151.62767654754026,145.23161992146328,3.9585274688581964,2.4375291572830897
 01/08  07:00:00,141.12676639433644,128.33938648466292,7.917054937716393,4.870324971957122
 01/08  08:00:00,141.68229102774671,124.93663956916683,11.875582406574589,4.870069052033256
 01/08  09:00:00,140.1377830114196,119.41101938322932,15.834109875432786,4.8926537528133816
 01/08  10:00:00,135.11294541948445,115.86740914054005,11.875582406574589,7.369953872453663
 01/08  11:00:00,137.8988649342999,110.7025774707712,19.79263734429098,7.40365011937749
 01/08  12:00:00,137.652102085431,107.9881982908283,19.79263734429098,9.87126645017195
 01/08  13:00:00,133.82968032781602,106.63212622717239,19.79263734429098,7.404916756380585
 01/08  14:00:00,127.4146646287503,104.17683873675313,15.834109875432786,7.403716016564391
 01/08  15:00:00,123.98494581645068,102.23756940622124,11.875582406574589,9.871794003598934
 01/08  16:00:00,126.00363067226417,102.76419458332587,15.834109875432786,7.405326213589353
 01/08  17:00:00,136.39867964497594,105.24348439659181,23.751164813149177,7.404030435290852
 01/08  18:00:00,144.86026307195746,113.7387602434228,23.751164813149177,7.37033801544139
 01/08  19:00:00,154.99297875853233,126.37222968162338,23.751164813149177,4.869584263731842
 01/08  20:00:00,150.23277730893346,129.5284878723681,15.834109875432786,4.870179561188493
 01/08  21:00:00,159.12780514248809,140.85621889631534,15.834109875432786,2.4374763707511073
 01/08  22:00:00,160.46974392259546,143.72395150175896,11.875582406574589,4.87021001440166
 01/08  23:00:00,161.75470200955667,148.967689896673,7.917054937716393,4.869957175223181
 01/08  24:00:00,159.92793544807085,151.09972738478717,3.9585274688581964,4.86968059453728
 01/09  01:00:00,156.21972218207972,152.19821048029502,1.5834109875432787,2.4381007142721454
 01/09  02:00:00,160.8199499075664,154.36675608120004,1.5834109875432787,4.8697828387280255
 01/09  03:00:00,162.2042364412024,155.7504389945814,1.5834109875432787,4.870386459010627
 01/09  04:00:00,161.32995256142047,157.30896536370793,1.5834109875432787,2.437576210253118
 01/09  05:00:00,156.23810316345765,149.7842634002632,1.5834109875432787,4.870428775807716
 01/09  06:00:00,284.820001964228,275.99107997242834,3.9585274688581964,4.870394523975723
 01/09  07:00:00,191.75617767951874,178.96921511449344,7.917054937716393,4.869907627057354
 01/09  08:00:00,179.6740177624048,160.42374290018515,11.875582406574589,7.374692455533225
 01/09  09:00:00,175.5006630132153,152.25067718347614,15.834109875432786,7.415875954306364
 01/09  10:00:00,168.95455046779503,147.15401949511164,11.875582406574589,9.924948566220563
 01/09  11:00:00,170.75836362792603,138.4809827830608,19.79263734429098,12.48474350054629
 01/09  12:00:00,165.18856294432408,132.8868229027802,19.79263734429098,12.509102697224938
 01/09  13:00:00,158.43694360344506,128.69685392800895,19.79263734429098,9.947452331340807
 01/09  14:00:00,154.12386181796123,125.77911252640688,15.834109875432786,12.510639416317261
 01/09  15:00:00,147.64724249858787,125.78548600116757,11.875582406574589,9.986174091013433
 01/09  16:00:00,153.60745974533,125.31594155799637,15.834109875432786,12.457408311928804
 01/09  17:00:00,157.4183983352012,123.76038129756819,23.751164813149177,9.906852224483849
 01/09  18:00:00,151.87632095297582,123.22226296812387,23.751164813149177,4.902893171674823
 01/09  19:00:00,142.90088417827982,114.26552604092623,23.751164813149177,4.8841933242323785
 01/09  20:00:00,136.12268527176428,115.40448552344205,15.834109875432786,4.884089872721739
 01/09  21:00:00,148.57009150594385,127.85102756652775,15.834109875432786,4.884954064095114
 01/09  22:00:00,146.53405516584465,129.78704494631978,11.875582406574589,4.871427812894361
 01/09  23:00:00,148.1788139352082,135.39132440462276,7.917054937716393,4.870434592841114
 01/09  24:00:00,143.07297382070058,136.67684887868788,3.9585274688581964,2.4375974731069716
 01/10  01:00:00,144.179296276118,137.7253429328342,1.5834109875432787,4.87054235578524
 01/10  02:00:00,145.57520077904627,139.12173617083042,1.5834109875432787,4.870053620577538
 01/10  03:00:00,146.80167332291072,140.34822193366253,1.5834109875432787,4.870040401777594
 01/10  04:00:00,145.4122181203696,141.39138244253368,1.5834109875432787,2.437424690356936
 01/10  05:00:00,142.4540530921868,136.00054652379052,1.5834109875432787,4.870095580841815
 01/10  06:00:00,235.97977083778432,227.1505772621809,3.9585274688581964,4.870666106857053
 01/10  07:00:00,170.28237382705314,157.49569547360605,7.917054937716393,4.86962341575864
 01/10  08:00:00,161.7498428636835,144.95568439000215,11.875582406574589,4.9185760671906475
 01/10  09:00:00,164.34843558641043,138.62818790684366,15.834109875432786,9.886137804357624
 01/10  10:00:00,157.17198810832534,135.37178148043202,11.875582406574589,9.924624221346663
 01/10  11:00:00,162.2357160308552,129.95754989360898,19.79263734429098,12.485528793094987
 01/10  12:00:00,155.06066470619442,125.26051528502094,19.79263734429098,10.007512076994288
 01/10  13:00:00,151.08757391746587,118.85796637056679,19.79263734429098,12.436970202496285
 01/10  14:00:00,143.04100725753983,114.69637789965442,15.834109875432786,12.510519482508522
 01/10  15:00:00,132.74806287711465,110.88636447148211,11.875582406574589,9.986115999085918
 01/10  16:00:00,137.0941326258809,108.80127348551481,15.834109875432786,12.458749265017136
 01/10  17:00:00,144.74419971634862,111.75724367142693,23.751164813149177,9.23579123182842
 01/10  18:00:00,144.8662381719636,115.54884679476014,23.751164813149177,5.5662265639983906
 01/10  19:00:00,141.84430956663144,113.2084233196261,23.751164813149177,4.884721433912047
 01/10  20:00:00,136.2541040461447,115.53596545459047,15.834109875432786,4.884028716177365
 01/10  21:00:00,148.4955474482311,127.7765394080168,15.834109875432786,4.884898164921265
 01/10  22:00:00,146.84067522325844,130.09371987428725,11.875582406574589,4.871372942452547
 01/10  23:00:00,148.95795582607866,136.17052151740845,7.917054937716393,4.870379370897918
 01/10  24:00:00,144.7608209434466,138.36471450703823,3.9585274688581964,2.4375789677989257
 01/11  01:00:00,148.28820357377893,141.83429036370694,1.5834109875432787,4.870502222517528
 01/11  02:00:00,151.04937132762578,144.59568839358604,1.5834109875432787,4.870271946485262
 01/11  03:00:00,152.91532196416975,146.46189002391927,1.5834109875432787,4.870020952696025
 01/11  04:00:00,154.7781077524355,150.75643480473798,1.5834109875432787,2.438261960243698
 01/11  05:00:00,149.27782773910207,142.8243317635458,1.5834109875432787,4.87008498808563
 01/11  06:00:00,236.51661127536096,227.68790109340208,3.9585274688581964,4.870182713156587
 01/11  07:00:00,173.23460602903612,160.44792021146068,7.917054937716393,4.869630879719267
 01/11  08:00:00,161.82602726946902,145.03180331953587,11.875582406574589,4.91864154338651
 01/11  09:00:00,160.00271507879495,134.2822498644571,15.834109875432786,9.886355338960968
 01/11  10:00:00,150.63727098528207,128.83675832617013,11.875582406574589,9.924930252565328
 01/11  11:00:00,155.39945444537128,123.12077239606043,19.79263734429098,12.486044705159598
 01/11  12:00:00,148.0416573442401,118.24102451376872,19.79263734429098,10.007995486068571
 01/11  13:00:00,146.66178093309892,114.43162920056606,19.79263734429098,12.437514388297785
 01/11  14:00:00,138.8057401208435,110.46040746976975,15.834109875432786,12.511222775696853
 01/11  15:00:00,126.42027404990777,104.5579908667308,11.875582406574589,9.98670077665828
 01/11  16:00:00,129.0142970400012,100.7218934476617,15.834109875432786,12.458293716990562
 01/11  17:00:00,135.69105558869677,102.03252489252131,23.751164813149177,9.907365883138093
 01/11  18:00:00,138.32548640360187,109.67126678066495,23.751164813149177,4.903054809759794
 01/11  19:00:00,140.4986408022911,111.86255666993112,23.751164813149177,4.884919319434426
 01/11  20:00:00,138.10173808434428,117.38338796554798,15.834109875432786,4.884240243531253
 01/11  21:00:00,155.53342787169456,134.81419570888846,15.834109875432786,4.885122287429186
 01/11  22:00:00,160.60229278272234,143.85512753892897,11.875582406574589,4.871582837106976
 01/11  23:00:00,162.67119375006928,149.8835337484417,7.917054937716393,4.870605063967123
 01/11  24:00:00,160.2441045971842,153.8478899928295,3.9585274688581964,2.437687135602762
 01/12  01:00:00,164.84265349980203,158.38850677541265,1.5834109875432787,4.870735736583315
 01/12  02:00:00,167.0518384954674,160.59876759451495,1.5834109875432787,4.869659913397947
 01/12  03:00:00,169.0916564076237,162.63798205385152,1.5834109875432787,4.870263366161838
 01/12  04:00:00,172.75878002696842,168.73783097281614,1.5834109875432787,2.4375380665782638
 01/12  05:00:00,168.4719152678975,162.0181591024932,1.5834109875432787,4.870345177877768
 01/12  06:00:00,243.80589567521895,234.97643639140543,3.9585274688581964,4.8709318149273795
 01/12  07:00:00,184.94733414769834,172.16038422917563,7.917054937716393,4.869894980722483
 01/12  08:00:00,166.6731165498849,149.87855024738957,11.875582406574589,4.91898389594872
 01/12  09:00:00,158.39661872010132,132.67536744776635,15.834109875432786,9.887141396678555
 01/12  10:00:00,147.51218148142792,125.710850528218,11.875582406574589,9.925748546775097
 01/12  11:00:00,151.5282573061718,119.24840184462104,19.79263734429098,12.487218117064135
 01/12  12:00:00,145.7999261564214,113.49653214448406,19.79263734429098,12.51075666775816
 01/12  13:00:00,138.56620966069625,108.82489975387473,19.79263734429098,9.948672562614403
 01/12  14:00:00,132.8799910053685,104.53329669217062,15.834109875432786,12.512584437597392
 01/12  15:00:00,120.60869077684964,98.74530960035179,11.875582406574589,9.987798769699646
 01/12  16:00:00,124.0248397725179,95.73144697031566,15.834109875432786,12.459282926741487
 01/12  17:00:00,131.87185465850567,98.21232183398807,23.751164813149177,9.90836801139637
 01/12  18:00:00,133.2111705053955,104.55768070666372,23.751164813149177,4.902324985666476
 01/12  19:00:00,136.34434089211763,107.70851636959347,23.751164813149177,4.884659709263174
 01/12  20:00:00,131.98440624389588,111.26559936533661,15.834109875432786,4.884697003322152
 01/12  21:00:00,144.24945662607075,123.53025966371713,15.834109875432786,4.88508708689287
 01/12  22:00:00,142.44944144437625,125.70182396491523,11.875582406574589,4.872035072998226
 01/12  23:00:00,144.186617303565,131.3993352717223,7.917054937716393,4.8702270940424635
 01/12  24:00:00,142.17449541432137,133.34598621148834,3.9585274688581964,4.869981733863002
 01/13  01:00:00,138.8638309699572,134.84215523261054,1.5834109875432787,2.4382647497139374
 01/13  02:00:00,142.54916293472465,136.09562892098867,1.5834109875432787,4.870123026237393
 01/13  03:00:00,144.5963578962408,138.1421834553735,1.5834109875432787,4.870763453089185
 01/13  04:00:00,145.9142721394528,140.45673814986054,1.5834109875432787,3.874123002065744
 01/13  05:00:00,140.83553100032964,135.81860829875322,1.5834109875432787,3.433511714133767
 01/13  06:00:00,226.30127144037627,217.47239849049657,3.9585274688581964,4.870345481133313
 01/13  07:00:00,166.71177842051458,153.92432838750344,7.917054937716393,4.870395095350653
 01/13  08:00:00,159.84059889576145,140.58922789066958,11.875582406574589,7.375788598321633
 01/13  09:00:00,156.72790185473133,133.476469932935,15.834109875432786,7.41732204636354
 01/13  10:00:00,150.2141119074524,128.41144824269452,11.875582406574589,9.927081258127382
 01/13  11:00:00,153.26415964357048,120.98498116445614,19.79263734429098,12.486541134907242
 01/13  12:00:00,148.55383282086478,116.24851046675823,19.79263734429098,12.512685009955325
 01/13  13:00:00,143.51854176037392,113.77581509949164,19.79263734429098,9.950089316535399
 01/13  14:00:00,139.74320405529298,111.3970216295737,15.834109875432786,12.512072550342397
 01/13  15:00:00,134.89613383617507,110.6494734135452,11.875582406574589,12.371078016278886
 01/13  16:00:00,135.94445781368754,110.03035149346735,15.834109875432786,10.079996444843324
 01/13  17:00:00,144.37879442925427,110.71769189628233,23.751164813149177,9.909937719850713
 01/13  18:00:00,139.9389138584751,111.28467862664064,23.751164813149177,4.903070418573466
 01/13  19:00:00,139.38963486736844,110.75296835158677,23.751164813149177,4.885501702464774
 01/13  20:00:00,133.11339971354278,112.39384172363108,15.834109875432786,4.885448114506847
 01/13  21:00:00,147.1303631768078,123.97214441761825,15.834109875432786,7.324108883616994
 01/13  22:00:00,140.02309529385346,125.70846045495219,11.875582406574589,2.4390524325419083
 01/13  23:00:00,143.64396756478135,130.85683603199377,7.917054937716393,4.870076595183021
 01/13  24:00:00,141.47256517252694,132.64332515625352,3.9585274688581964,4.870712547471143
 01/14  01:00:00,137.9395282018042,133.9183486938424,1.5834109875432787,2.4377685206281594
 01/14  02:00:00,141.69284034618687,135.23855996294301,1.5834109875432787,4.8708693958012255
 01/14  03:00:00,142.63829251472828,136.18507140542567,1.5834109875432787,4.869810121776088
 01/14  04:00:00,143.67348757098992,137.21965011442717,1.5834109875432787,4.870426469231891
 01/14  05:00:00,139.47535774657675,135.4543241755595,1.5834109875432787,2.437622583473982
