Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,674.694047858,96.1775156129,250.423656813,0.0,34.9616554283,113.312780494,696.619751501,682.234865255,5.66466996096,8.72021628508
 01/01  02:00:00,662.433293015,96.1775156129,233.288363592,0.0,34.9616554283,113.312780494,740.472165414,717.386958122,5.66466996096,17.4205373308
 01/01  03:00:00,656.697249789,96.1775156129,226.791709896,0.0,34.9616554283,113.312780494,751.948763928,728.86474204,5.66466996096,17.4193519272
 01/01  04:00:00,654.257240321,96.1775156129,220.813450537,0.0,34.9616554283,113.312780494,759.259921936,744.87410483,5.66466996096,8.72114714452
 01/01  05:00:00,653.578712064,96.1775156129,210.505771462,0.0,44.4937663224,113.312780494,783.421753898,760.338000557,5.66466996096,17.4190833803
 01/01  06:00:00,661.01314859,96.1775156129,226.886146132,0.0,44.4937663224,113.312780494,742.38873688,710.806168664,14.1616749024,17.4208933141
 01/01  07:00:00,747.513735773,96.1775156129,249.518456305,0.0,54.0258772165,176.889270242,641.425691103,604.383443112,28.3233498048,8.71889818682
 01/01  08:00:00,745.522503516,96.1775156129,256.422437067,0.0,54.0258772165,184.38654557,644.152029346,584.246414439,42.4850247072,17.4205901999
 01/01  09:00:00,850.558529067,96.1775156129,285.396370679,0.0,65.1572554096,220.04316451,582.437977558,508.291926439,56.6466996096,17.4993515088
 01/01  10:00:00,954.015536459,96.1775156129,392.833854339,0.0,65.1572554096,212.545889182,539.958030091,471.108533085,42.4850247072,26.3644722985
 01/01  11:00:00,1081.69800676,96.1775156129,516.345688187,0.0,65.1572554096,220.04316451,553.996712224,456.70684266,70.808374512,26.4814950521
 01/01  12:00:00,1102.66279224,96.1775156129,538.08503392,0.0,65.1572554096,220.04316451,551.57086377,445.453644613,70.808374512,35.3088446445
 01/01  13:00:00,1113.16711236,96.1775156129,549.788015687,0.0,65.1572554096,220.04316451,533.794956622,436.500414848,70.808374512,26.4861672625
 01/01  14:00:00,1111.92541169,96.1775156129,556.583508435,0.0,65.1572554096,212.545889182,507.864238731,424.736608771,56.6466996096,26.4809303502
 01/01  15:00:00,1114.09943153,96.1775156129,561.957970724,0.0,65.1572554096,212.545889182,489.340862766,411.547896783,42.4850247072,35.3079412755
 01/01  16:00:00,1114.5591942,96.1775156129,563.908708599,0.0,65.1572554096,212.545889182,510.160432576,427.028262115,56.6466996096,26.4854708516
 01/01  17:00:00,1088.03108485,96.1775156129,561.952527664,0.0,65.1572554096,220.04316451,552.311244478,440.860796168,84.9700494144,26.4803988955
 01/01  18:00:00,1050.527079,96.1775156129,558.612970197,0.0,54.0258772165,184.38654557,578.686903279,467.356461682,84.9700494144,26.3603921823
 01/01  19:00:00,1024.45554333,96.1775156129,553.596854233,0.0,44.4937663224,163.454314868,611.173301027,508.78267468,84.9700494144,17.4205769327
 01/01  20:00:00,1015.4217619,96.1775156129,544.277273887,0.0,44.4937663224,155.95703954,593.498790545,519.432690996,56.6466996096,17.419399939
 01/01  21:00:00,944.034476697,96.1775156129,499.550674128,0.0,44.4937663224,124.558693486,627.979458585,562.611583692,56.6466996096,8.72117528368
 01/01  22:00:00,823.203518432,96.1775156129,377.423084707,0.0,44.4937663224,124.558693486,638.214013146,578.309854707,42.4850247072,17.419133732
 01/01  23:00:00,741.985179569,96.1775156129,307.200153437,0.0,34.9616554283,124.558693486,665.602698822,619.858401509,28.3233498048,17.4209475079
 01/01  24:00:00,705.91433784,96.1775156129,273.572256236,0.0,34.9616554283,124.558693486,666.221870453,643.341272783,14.1616749024,8.71892276798
 01/02  01:00:00,689.19109737,96.1775156129,255.456528255,0.0,46.0930336215,113.312780494,690.132777838,667.047275077,5.66466996096,17.4208327995
 01/02  02:00:00,680.692633471,96.1775156129,243.315643082,0.0,46.0930336215,113.312780494,715.02457989,691.940067604,5.66466996096,17.4198423244
 01/02  03:00:00,676.088055323,96.1775156129,238.128336761,0.0,46.0930336215,113.312780494,726.394113171,703.310733919,5.66466996096,17.4187092906
 01/02  04:00:00,682.870288429,96.1775156129,248.328777501,0.0,46.0930336215,113.312780494,697.423453491,683.03800425,5.66466996096,8.72077927996
 01/02  05:00:00,770.247645592,96.1775156129,246.12680072,0.0,100.150657288,148.969399434,679.582773227,656.497981299,5.66466996096,17.4201219667
 01/02  06:00:00,791.602740259,96.1775156129,258.102741997,0.0,100.150657288,149.894399434,1231.10268526,1199.52072332,14.1616749024,17.4202870455
 01/02  07:00:00,985.655941662,96.1775156129,221.211885597,0.0,176.471037341,302.612436532,855.059432064,818.018060323,28.3233498048,8.71802193604
 01/02  08:00:00,1087.13812507,96.1775156129,221.118019392,0.0,243.2593065,310.10971186,765.554169979,696.691441352,42.4850247072,26.3777039197
 01/02  09:00:00,1185.96423162,96.1775156129,288.976470286,0.0,243.2593065,310.10971186,690.598795292,598.602058295,56.6466996096,35.3500373872
 01/02  10:00:00,1377.43692413,96.1775156129,437.272419003,0.0,243.2593065,302.612436532,640.137990994,562.167334284,42.4850247072,35.4856320022
 01/02  11:00:00,1467.77955264,96.1775156129,511.029201362,0.0,243.2593065,310.10971186,635.543667075,529.025022731,70.808374512,35.7102698314
 01/02  12:00:00,1490.15251503,96.2088879361,523.823202065,0.0,243.2593065,310.10971186,614.145115168,498.599867963,70.808374512,44.7368726932
 01/02  13:00:00,1459.71938188,96.259666155,529.881959925,0.0,243.2593065,310.10971186,579.549718832,473.149725894,70.808374512,35.5916184252
 01/02  14:00:00,1499.30014083,96.3819239674,535.549020598,0.0,243.2593065,302.612436532,552.258328547,450.880659246,56.6466996096,44.7309696915
 01/02  15:00:00,1503.80355788,96.502955165,540.556889456,0.0,243.2593065,302.612436532,510.772907551,423.641036583,42.4850247072,44.6468462605
 01/02  16:00:00,1506.87908021,96.6005044701,541.406126893,0.0,243.2593065,302.612436532,497.821558221,405.537167182,56.6466996096,35.6376914299
 01/02  17:00:00,1506.23908015,96.6425883064,537.777521222,0.0,243.2593065,310.10971186,530.340507436,409.928420356,84.9700494144,35.4420376661
 01/02  18:00:00,1505.4817091,96.6700306865,528.031147166,0.0,243.2593065,310.10971186,539.954934645,437.449312323,84.9700494144,17.5355729068
 01/02  19:00:00,1192.98090676,96.1775156129,479.292316281,0.0,166.938926447,199.110933808,512.794222743,410.349481502,84.9700494144,17.4746918265
 01/02  20:00:00,1077.38392751,96.1775156129,376.216634303,0.0,166.938926447,191.61365848,499.630692327,421.256286353,56.6466996096,21.7277063648
 01/02  21:00:00,869.903838088,96.1775156129,310.927600408,0.0,100.150657288,124.558693486,556.738988446,478.152842963,56.6466996096,21.9394458738
 01/02  22:00:00,805.912825278,96.1775156129,283.462266998,0.0,100.150657288,124.558693486,549.595308595,498.386208268,42.4850247072,8.72407562025
 01/02  23:00:00,728.44197549,96.1775156129,271.610806495,0.0,46.0930336215,124.558693486,570.454027863,524.711403563,28.3233498048,17.4192744954
 01/02  24:00:00,731.444131357,96.1775156129,274.462055282,0.0,46.0930336215,124.558693486,556.962377756,525.379574871,14.1616749024,17.4211279831
 01/03  01:00:00,726.784424341,96.1775156129,287.735905813,0.0,46.0930336215,113.312780494,533.655904691,519.272093317,5.66466996096,8.71914141347
 01/03  02:00:00,737.916883283,96.1775156129,304.653907082,0.0,46.0930336215,113.312780494,537.844871617,514.758969173,5.66466996096,17.4212324834
 01/03  03:00:00,779.380674166,96.1775156129,341.217573288,0.0,46.0930336215,113.312780494,534.748193868,511.663341075,5.66466996096,17.4201828328
 01/03  04:00:00,885.531985697,96.1775156129,427.453074994,0.0,46.0930336215,113.312780494,540.626046655,517.542313449,5.66466996096,17.4190632457
 01/03  05:00:00,1057.55858765,96.1775156129,498.255318758,0.0,100.150657288,148.969399434,509.250600762,494.864958781,5.66466996096,8.72097202023
 01/03  06:00:00,1069.43454657,96.1775156129,505.367711901,0.0,100.150657288,149.894399434,902.307115056,870.724554488,14.1616749024,17.4208856654
 01/03  07:00:00,1296.23046264,96.3489614803,507.20772578,0.0,176.471037341,302.612436532,626.434620942,580.690535289,28.3233498048,17.4207358481
 01/03  08:00:00,1406.9083026,96.6417319624,509.688372406,0.0,243.2593065,310.10971186,600.552611813,531.689164982,42.4850247072,26.378422124
 01/03  09:00:00,1452.53900535,96.7673941207,512.661816079,0.0,243.2593065,310.10971186,594.085701609,510.914949557,56.6466996096,26.524052442
 01/03  10:00:00,1485.80219275,96.8637607003,517.191089802,0.0,243.2593065,302.612436532,574.858294657,496.876990672,42.4850247072,35.4962792777
 01/03  11:00:00,1499.27295624,96.9468036311,525.136627148,0.0,243.2593065,310.10971186,590.029853578,474.569711582,70.808374512,44.6517674848
 01/03  12:00:00,1504.36938608,97.0538826273,530.619031206,0.0,243.2593065,310.10971186,564.533503567,457.937493508,70.808374512,35.7876355462
 01/03  13:00:00,1464.90899001,97.3265632986,536.601808555,0.0,243.2593065,310.10971186,562.655875392,447.362524425,70.808374512,44.4849764552
 01/03  14:00:00,1496.73839112,97.7010265481,543.335415766,0.0,243.2593065,302.612436532,539.055147163,443.469082156,56.6466996096,38.9393653972
 01/03  15:00:00,1493.02577268,98.1154966209,547.105471026,0.0,243.2593065,302.612436532,524.890879996,440.909414068,42.4850247072,41.4964412203
 01/03  16:00:00,1458.92435131,98.4902686638,548.892776774,0.0,243.2593065,302.612436532,540.230684672,441.059098312,56.6466996096,42.5248867504
 01/03  17:00:00,1455.41547619,98.8312642166,550.554548051,0.0,243.2593065,310.10971186,554.230481681,440.641390505,84.9700494144,28.6190417612
 01/03  18:00:00,1472.10979998,99.167256162,550.26783655,0.0,243.2593065,310.10971186,552.533661752,441.271782851,84.9700494144,26.291829487
 01/03  19:00:00,1205.69678204,96.1775156129,548.727142994,0.0,166.938926447,199.110933808,523.781912229,421.33898559,84.9700494144,17.4728772239
 01/03  20:00:00,1197.50746593,96.1775156129,545.786656484,0.0,166.938926447,191.61365848,499.866240543,425.746022211,56.6466996096,17.4735187223
 01/03  21:00:00,1063.21784221,96.1775156129,545.291269044,0.0,100.150657288,124.558693486,539.774925488,465.653804919,56.6466996096,17.4744209597
 01/03  22:00:00,1022.58938402,96.1775156129,547.023089599,0.0,100.150657288,124.558693486,530.768568958,470.85661356,42.4850247072,17.4269306902
 01/03  23:00:00,957.821591713,96.1775156129,548.896221332,0.0,46.0930336215,124.558693486,525.586305769,488.543878652,28.3233498048,8.71907731221
 01/03  24:00:00,959.33226287,96.1775156129,549.628097064,0.0,46.0930336215,124.558693486,526.090694587,494.508044189,14.1616749024,17.4209754954
 01/04  01:00:00,949.517022004,96.1775156129,549.205370683,0.0,46.0930336215,113.312780494,522.854645267,499.768231579,5.66466996096,17.4217437273
 01/04  02:00:00,950.76319068,96.1775156129,547.880811298,0.0,46.0930336215,113.312780494,526.674074864,503.590266829,5.66466996096,17.4191380745
 01/04  03:00:00,949.090784338,96.1775156129,546.640462707,0.0,46.0930336215,113.312780494,523.216345064,508.830653207,5.66466996096,8.72102189618
 01/04  04:00:00,947.228745209,96.1775156129,544.97963872,0.0,46.0930336215,113.312780494,536.950140964,513.866420212,5.66466996096,17.4190507917
 01/04  05:00:00,1033.70765029,96.1775156129,542.601831039,0.0,100.150657288,148.969399434,518.90536296,495.81978004,5.66466996096,17.4209129593
 01/04  06:00:00,1034.57416915,96.3007811201,540.966500097,0.0,100.150657288,149.894399434,833.558546512,810.678482116,14.1616749024,8.71838949286
 01/04  07:00:00,1263.44890851,96.9790199612,539.189740659,0.0,176.471037341,302.612436532,615.244855422,569.500574266,28.3233498048,17.420931352
 01/04  08:00:00,1370.60640324,97.4851284185,536.412296027,0.0,243.2593065,310.10971186,592.455158529,523.592356644,42.4850247072,26.3777771777
 01/04  09:00:00,1411.30594041,98.0549151636,535.946387155,0.0,243.2593065,310.10971186,585.37242422,502.209985184,56.6466996096,26.5157394262
 01/04  10:00:00,1443.45058034,98.5269489745,538.397264763,0.0,243.2593065,302.612436532,566.651088383,488.655417248,42.4850247072,35.5106464283
 01/04  11:00:00,1453.46133301,99.0282521675,542.5384091,0.0,243.2593065,310.10971186,583.70963147,468.259427726,70.808374512,44.6418292322
 01/04  12:00:00,1459.1022882,99.473949723,546.868393607,0.0,243.2593065,310.10971186,568.392031653,452.841075333,70.808374512,44.7425818076
 01/04  13:00:00,1422.42803017,99.9080091792,551.491296283,0.0,243.2593065,310.10971186,545.401686399,439.005792731,70.808374512,35.5875191565
 01/04  14:00:00,1463.68650278,100.394041541,555.800241402,0.0,243.2593065,302.612436532,523.332591133,421.946259129,56.6466996096,44.7396323946
 01/04  15:00:00,1468.5403184,100.829878217,560.947898385,0.0,243.2593065,302.612436532,487.091606373,399.953592735,42.4850247072,44.6529889313
 01/04  16:00:00,1470.59448727,101.140904252,564.615406134,0.0,243.2593065,302.612436532,474.298476017,382.016148361,56.6466996096,35.6356280467
 01/04  17:00:00,1476.60074305,101.322595739,564.158276793,0.0,243.2593065,310.10971186,503.949490158,383.539487104,84.9700494144,35.4399536404
 01/04  18:00:00,1490.40914069,101.443061641,559.073973895,0.0,243.2593065,310.10971186,510.944881385,408.438810565,84.9700494144,17.5360214051
 01/04  19:00:00,1219.54911011,96.1775156129,552.096417912,0.0,166.938926447,199.110933808,509.667123222,407.223011137,84.9700494144,17.4740626713
 01/04  20:00:00,1210.70406724,96.1775156129,543.986332505,0.0,166.938926447,191.61365848,489.994202733,415.874465482,56.6466996096,17.4730376411
 01/04  21:00:00,1067.12001674,96.1775156129,536.056588009,0.0,100.150657288,124.558693486,532.963666776,458.842841108,56.6466996096,17.4741260579
 01/04  22:00:00,1002.2924218,96.1775156129,508.902003216,0.0,100.150657288,124.558693486,525.785599509,465.872951836,42.4850247072,17.4276229657
 01/04  23:00:00,904.756295071,96.1775156129,474.122478432,0.0,46.0930336215,124.558693486,531.870365687,486.126063555,28.3233498048,17.4209523272
 01/04  24:00:00,874.903231182,96.1775156129,439.896854393,0.0,46.0930336215,124.558693486,525.894237197,494.312725859,14.1616749024,17.4198364364
 01/05  01:00:00,833.23625441,96.1775156129,406.326244961,0.0,46.0930336215,113.312780494,515.20252685,500.816332175,5.66466996096,8.72152471462
 01/05  02:00:00,805.653487043,96.1775156129,373.934466905,0.0,46.0930336215,113.312780494,530.346000787,507.261286694,5.66466996096,17.4200441319
 01/05  03:00:00,782.781956039,96.1775156129,351.746750507,0.0,46.0930336215,113.312780494,535.740019836,512.65332926,5.66466996096,17.4220206146
 01/05  04:00:00,766.271689464,96.1775156129,336.781794594,0.0,46.0930336215,113.312780494,536.18636661,521.802174275,5.66466996096,8.71952237349
 01/05  05:00:00,834.178261367,96.1775156129,318.140189816,0.0,100.150657288,148.969399434,535.527623013,512.440990971,5.66466996096,17.4219620815
 01/05  06:00:00,844.136220829,96.5715153281,322.738153804,0.0,100.150657288,149.894399434,850.746687867,819.161696115,14.1616749024,17.4233168497
 01/05  07:00:00,1054.42285826,97.4239486579,304.254799003,0.0,176.471037341,302.612436532,626.066079161,580.322819616,28.3233498048,17.4199097407
 01/05  08:00:00,1183.10651604,98.8837573377,324.754172046,0.0,243.2593065,310.10971186,584.020381256,523.941578247,42.4850247072,17.5937783011
 01/05  09:00:00,1286.87579471,99.7381627241,386.687157718,0.0,243.2593065,310.10971186,576.228897358,484.221203772,56.6466996096,35.3609939771
 01/05  10:00:00,1419.97869921,100.305044972,489.683517321,0.0,243.2593065,302.612436532,544.109096967,466.12693961,42.4850247072,35.4971326495
 01/05  11:00:00,1454.22497225,100.890409286,522.649091718,0.0,243.2593065,310.10971186,550.181516789,438.927870929,70.808374512,40.445271348
 01/05  12:00:00,1475.88335464,101.407059611,542.220353578,0.0,243.2593065,310.10971186,525.60179325,414.784195797,70.808374512,40.0092229407
 01/05  13:00:00,1455.12855502,101.920897392,556.827650039,0.0,243.2593065,310.10971186,511.008111564,395.704032261,70.808374512,44.4957047914
 01/05  14:00:00,1503.00652069,102.300850518,564.837895894,0.0,243.2593065,302.612436532,473.120649355,380.681263824,56.6466996096,35.7926859216
 01/05  15:00:00,1505.47488794,102.593153164,566.128860987,0.0,243.2593065,302.612436532,446.742145008,359.608941959,42.4850247072,44.648178342
 01/05  16:00:00,1503.88587385,102.874483059,563.788383108,0.0,243.2593065,302.612436532,443.978105997,347.439425873,56.6466996096,39.8919805147
 01/05  17:00:00,1511.51469691,102.959986171,568.460744908,0.0,243.2593065,310.10971186,470.540932675,354.328027933,84.9700494144,31.2428553273
 01/05  18:00:00,1505.68426269,102.862694902,562.363581344,0.0,243.2593065,310.10971186,492.537871582,381.274262576,84.9700494144,26.2935595921
 01/05  19:00:00,1224.59449698,96.1775156129,545.142369473,0.0,166.938926447,199.110933808,496.127496449,393.683789305,84.9700494144,17.4736577291
 01/05  20:00:00,1163.65979275,96.1775156129,485.178086316,0.0,166.938926447,191.61365848,477.666125525,403.544829689,56.6466996096,17.4745962265
 01/05  21:00:00,964.671844513,96.1775156129,417.009414357,0.0,100.150657288,124.558693486,520.646214974,446.523951019,56.6466996096,17.4755643461
 01/05  22:00:00,876.854616424,96.1775156129,364.745447944,0.0,100.150657288,124.558693486,515.455323462,455.542314527,42.4850247072,17.4279842271
 01/05  23:00:00,773.54398799,96.1775156129,330.125573201,0.0,46.0930336215,124.558693486,515.445361287,478.402402864,28.3233498048,8.71960861791
 01/05  24:00:00,747.155647686,96.1775156129,304.197556476,0.0,46.0930336215,124.558693486,530.098805348,498.514983506,14.1616749024,17.4221469397
 01/06  01:00:00,737.862452703,96.1775156129,307.058328035,0.0,46.0930336215,113.312780494,519.839451349,496.751808734,5.66466996096,17.4229726534
 01/06  02:00:00,754.934414188,96.1775156129,321.957935112,0.0,46.0930336215,113.312780494,519.472166981,496.387107349,5.66466996096,17.4203896714
 01/06  03:00:00,780.087784268,96.1775156129,344.05675697,0.0,46.0930336215,113.312780494,515.384051402,500.997662718,5.66466996096,8.72171872301
 01/06  04:00:00,777.248014722,96.1775156129,340.477535371,0.0,46.0930336215,113.312780494,535.926440982,512.841363449,5.66466996096,17.4204075719
 01/06  05:00:00,827.499253037,96.1775156129,299.32685776,0.0,100.150657288,148.969399434,541.555681948,518.468611477,5.66466996096,17.4224005092
 01/06  06:00:00,827.570567386,96.6648930227,296.261317311,0.0,100.150657288,149.894399434,829.483040147,806.601631566,14.1616749024,8.71973367859
 01/06  07:00:00,1044.47863755,97.9094182465,286.78162883,0.0,176.471037341,302.612436532,618.274933045,572.529066127,28.3233498048,17.4225171127
 01/06  08:00:00,1195.09654573,99.7771328559,330.450469891,0.0,243.2593065,310.10971186,577.557618162,508.691661392,42.4850247072,26.3809320625
 01/06  09:00:00,1374.14505564,100.575806634,475.017697448,0.0,243.2593065,310.10971186,559.892131739,469.582800096,56.6466996096,33.6626320339
 01/06  10:00:00,1453.29280903,101.162675219,531.639922975,0.0,243.2593065,302.612436532,515.581728442,444.765256029,42.4850247072,28.3314477056
 01/06  11:00:00,1486.92716025,101.572422094,556.337356775,0.0,243.2593065,310.10971186,540.251980195,424.794159932,70.808374512,44.6494457506
 01/06  12:00:00,1497.75971892,102.076884586,564.541803984,0.0,243.2593065,310.10971186,517.855764848,402.304447901,70.808374512,44.7429424351
 01/06  13:00:00,1459.95673227,102.436786268,560.985661509,0.0,243.2593065,310.10971186,494.154519301,387.75096247,70.808374512,35.5951823194
 01/06  14:00:00,1485.46747342,102.841214634,558.106932612,0.0,243.2593065,302.612436532,473.940351455,372.547139666,56.6466996096,44.7465121794
 01/06  15:00:00,1470.43281163,103.084831879,559.56321162,0.0,243.2593065,302.612436532,446.377849353,359.237908719,42.4850247072,44.654915927
 01/06  16:00:00,1468.43667364,103.08226452,566.798087352,0.0,243.2593065,302.612436532,457.058319484,364.767509295,56.6466996096,35.644110579
 01/06  17:00:00,1485.92746426,103.160339338,581.099351076,0.0,243.2593065,310.10971186,492.403455605,371.985358754,84.9700494144,35.4480474366
 01/06  18:00:00,1510.77893204,103.238055717,591.208686238,0.0,243.2593065,310.10971186,485.14616422,382.640829881,84.9700494144,17.5352849252
 01/06  19:00:00,1227.53453739,96.1775156129,580.482732341,0.0,166.938926447,199.110933808,490.650917753,388.204285765,84.9700494144,17.476582574
 01/06  20:00:00,1213.40001427,96.1775156129,567.938285806,0.0,166.938926447,191.61365848,478.69735185,395.85301288,56.6466996096,26.1976393608
 01/06  21:00:00,1074.00625014,96.1775156129,560.099917465,0.0,100.150657288,124.558693486,511.088116337,436.970740902,56.6466996096,17.4706758261
 01/06  22:00:00,1030.41765541,96.1775156129,553.156409709,0.0,100.150657288,124.558693486,497.280210382,446.070007206,42.4850247072,8.72517846919
 01/06  23:00:00,961.536508881,96.1775156129,546.533645357,0.0,46.0930336215,124.558693486,513.247604013,467.502815639,28.3233498048,17.4214385691
 01/06  24:00:00,958.82572078,96.1775156129,543.290849838,0.0,46.0930336215,124.558693486,506.32512945,474.743148227,14.1616749024,17.4203063202
 01/07  01:00:00,945.836675058,96.1775156129,543.601682089,0.0,46.0930336215,113.312780494,498.264299452,479.531836424,5.66466996096,13.0677930674
 01/07  02:00:00,946.112507276,96.1775156129,543.828540655,0.0,46.0930336215,113.312780494,501.948300543,483.210630679,5.66466996096,13.0729999033
 01/07  03:00:00,943.974454901,96.1775156129,545.297519951,0.0,46.0930336215,113.312780494,509.510131343,486.426236098,5.66466996096,17.4192252833
 01/07  04:00:00,943.552707757,96.1775156129,550.77361943,0.0,46.0930336215,113.312780494,511.996982297,488.91049482,5.66466996096,17.4218175161
 01/07  05:00:00,954.789740281,96.1775156129,558.334011942,0.0,55.6251445156,113.312780494,496.859975721,482.476093325,5.66466996096,8.71921243481
 01/07  06:00:00,959.272856439,96.1775156129,561.95898727,0.0,55.6251445156,113.312780494,519.731652362,488.148111536,14.1616749024,17.4218659238
 01/07  07:00:00,1030.57094681,96.1775156129,560.489936021,0.0,65.1572554096,176.889270242,476.369514498,430.625211484,28.3233498048,17.4209532089
 01/07  08:00:00,1136.16663621,96.4762482654,560.382454426,0.0,109.682768182,220.96816451,763.267889078,703.36285773,42.4850247072,17.4200066413
 01/07  09:00:00,1154.21611185,96.4749127909,568.109757898,0.0,109.682768182,220.96816451,644.315655028,570.153839023,56.6466996096,17.5151163949
 01/07  10:00:00,1279.6404916,96.8840498128,584.785963029,0.0,131.945524568,266.955817592,585.595881164,516.715072197,42.4850247072,26.3957842603
 01/07  11:00:00,1296.72900811,97.0414167478,592.727813426,0.0,131.945524568,274.45309292,593.255210938,495.928670114,70.808374512,26.5181663117
 01/07  12:00:00,1286.26008897,97.2426404272,579.588365958,0.0,131.945524568,274.45309292,583.279456148,477.117580194,70.808374512,35.3535014419
 01/07  13:00:00,1249.53794378,97.3423200258,574.051714968,0.0,131.945524568,274.45309292,561.103585975,463.77973424,70.808374512,26.515477223
 01/07  14:00:00,1238.59195765,97.4549218789,569.995668367,0.0,131.945524568,266.955817592,545.952523897,453.962755353,56.6466996096,35.3430689344
 01/07  15:00:00,1239.98218618,97.4688563344,571.362382481,0.0,131.945524568,266.955817592,520.304803371,451.306157209,42.4850247072,26.5136214545
 01/07  16:00:00,1174.47536787,96.1775156129,584.694453164,0.0,109.682768182,212.545889182,430.352403385,338.363287596,56.6466996096,35.3424161788
 01/07  17:00:00,1193.07158967,96.1775156129,596.80339722,0.0,109.682768182,220.04316451,458.156018102,346.668798811,84.9700494144,26.5171698767
 01/07  18:00:00,1181.52208101,96.1775156129,613.390036035,0.0,109.682768182,220.04316451,472.932132593,361.585352538,84.9700494144,26.3767306404
 01/07  19:00:00,1133.92551759,96.1775156129,606.127951272,0.0,100.150657288,199.110933808,502.905163543,400.514200748,84.9700494144,17.4209133813
 01/07  20:00:00,1113.80447829,96.1775156129,593.832542312,0.0,100.150657288,191.61365848,472.960530086,407.591856062,56.6466996096,8.7219744141
 01/07  21:00:00,990.415260524,96.1775156129,582.598678057,0.0,55.6251445156,124.558693486,528.451330748,454.383574713,56.6466996096,17.4210564257
 01/07  22:00:00,982.548564553,96.1775156129,573.537044716,0.0,55.6251445156,124.558693486,521.542833852,461.63487459,42.4850247072,17.4229345549
 01/07  23:00:00,971.133485394,96.1775156129,566.653087225,0.0,46.0930336215,124.558693486,516.172590885,479.129250875,28.3233498048,8.71999020486
 01/07  24:00:00,967.71652427,96.1775156129,559.268299306,0.0,46.0930336215,124.558693486,518.437376798,486.852709596,14.1616749024,17.4229922996
 01/08  01:00:00,940.819974471,96.1775156129,552.076334508,0.0,34.9616554283,113.312780494,517.542802109,494.454254936,5.66466996096,17.4238772121
 01/08  02:00:00,939.494579259,96.1775156129,544.761350633,0.0,34.9616554283,113.312780494,524.118412504,501.032412844,5.66466996096,17.4213296989
 01/08  03:00:00,919.606746608,96.1775156129,519.74077207,0.0,34.9616554283,113.312780494,523.077399901,508.69048953,5.66466996096,8.72224040966
 01/08  04:00:00,905.709078874,96.1775156129,500.296944634,0.0,34.9616554283,113.312780494,538.647121273,515.561005955,5.66466996096,17.4214453565
 01/08  05:00:00,897.496678667,96.1775156129,482.192371885,0.0,44.4937663224,113.312780494,535.772463047,512.684249071,5.66466996096,17.4235440153
 01/08  06:00:00,871.900460386,96.1775156129,453.617440314,0.0,44.4937663224,113.312780494,542.449655425,519.567693557,14.1616749024,8.72028696583
 01/08  07:00:00,916.709924621,96.1775156129,422.823066116,0.0,54.0258772165,176.889270242,504.882535596,459.135545444,28.3233498048,17.4236403472
 01/08  08:00:00,902.403380069,96.1775156129,414.522725738,0.0,54.0258772165,184.38654557,506.86993099,446.962181492,42.4850247072,17.4227247909
 01/08  09:00:00,1026.25119674,96.1775156129,461.159648853,0.0,65.1572554096,220.04316451,501.34443683,427.194215418,56.6466996096,17.5035218026
 01/08  10:00:00,1077.44490795,96.1775156129,522.169240055,0.0,65.1572554096,212.545889182,483.368025911,414.516911387,42.4850247072,26.3660898171
 01/08  11:00:00,1094.9177053,96.1775156129,537.823639803,0.0,65.1572554096,220.04316451,493.334683155,396.039670138,70.808374512,26.4866385055
 01/08  12:00:00,1110.23158583,96.1775156129,549.319742697,0.0,65.1572554096,220.04316451,492.45188639,386.328949217,70.808374512,35.3145626605
 01/08  13:00:00,1115.28161606,96.1775156129,555.158816641,0.0,65.1572554096,220.04316451,478.777131144,381.477586719,70.808374512,26.4911699131
 01/08  14:00:00,1112.246499,96.1775156129,561.492761822,0.0,65.1572554096,212.545889182,455.827342987,372.693769124,56.6466996096,26.4868742534
 01/08  15:00:00,1117.39795897,96.1775156129,566.691306964,0.0,65.1572554096,212.545889182,443.557486782,365.756012086,42.4850247072,35.3164499886
 01/08  16:00:00,1124.07988495,96.1775156129,569.723528162,0.0,65.1572554096,212.545889182,450.779353722,367.640019362,56.6466996096,26.4926347507
 01/08  17:00:00,1100.37374084,96.1775156129,569.639325924,0.0,65.1572554096,220.04316451,487.967754031,376.509705527,84.9700494144,26.4879990898
 01/08  18:00:00,1055.62314097,96.1775156129,564.352187036,0.0,54.0258772165,184.38654557,518.239160405,406.901646898,84.9700494144,26.3674640928
 01/08  19:00:00,1011.26022419,96.1775156129,554.746147434,0.0,44.4937663224,163.454314868,554.489060541,452.098020671,84.9700494144,17.4209904555
 01/08  20:00:00,997.837068728,96.1775156129,546.304907608,0.0,44.4937663224,155.95703954,537.459388288,463.38956854,56.6466996096,17.4231201386
 01/08  21:00:00,926.615926438,96.1775156129,504.167299178,0.0,44.4937663224,124.558693486,569.281446722,503.914648991,56.6466996096,8.72009812144
