Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/20  23:00:00,1011.48894396,96.1775156129,611.073234577,0.0,46.0930336215,124.558693486,503.196993642,457.460341663,28.3233498048,17.413302174
 12/20  24:00:00,1010.90167786,96.1775156129,609.795669667,0.0,46.0930336215,124.558693486,485.532677336,462.653204648,14.1616749024,8.71779778532
 12/21  01:00:00,997.328406453,96.1775156129,608.736160217,0.0,46.0930336215,113.312780494,489.924868139,466.84323779,5.66466996096,17.4169603885
 12/21  02:00:00,995.377107913,96.1775156129,607.170311266,0.0,46.0930336215,113.312780494,494.188994335,471.110532589,5.66466996096,17.4137917853
 12/21  03:00:00,988.597737169,96.1775156129,601.365561705,0.0,46.0930336215,113.312780494,491.703227415,477.32047074,5.66466996096,8.71808671397
 12/21  04:00:00,975.346227497,96.1775156129,589.356803797,0.0,46.0930336215,113.312780494,508.26978456,485.189420779,5.66466996096,17.4156938193
 12/21  05:00:00,1055.69738428,96.1775156129,579.559991799,0.0,100.150657288,148.969399434,488.509272717,465.430622134,5.66466996096,17.413980622
 12/21  06:00:00,1059.45032512,96.6536022401,580.74240504,0.0,100.150657288,149.894399434,747.523191171,724.643333922,14.1616749024,8.71818234669
 12/21  07:00:00,1292.46680121,98.138725275,583.18393239,0.0,176.471037341,302.612436532,561.531522545,515.790712859,28.3233498048,17.4174598815
 12/21  08:00:00,1409.2877583,99.8661687775,589.481860612,0.0,243.2593065,310.10971186,537.091711363,468.243599495,42.4850247072,26.3630871601
 12/21  09:00:00,1457.00920397,100.558873471,593.822464763,0.0,243.2593065,310.10971186,523.390777812,440.240663125,56.6466996096,26.5034150779
 12/21  10:00:00,1485.14673309,101.123820895,587.381258403,0.0,243.2593065,302.612436532,497.835065041,419.87918291,42.4850247072,35.4708574236
 12/21  11:00:00,1490.42932552,101.656166618,584.68826908,0.0,243.2593065,310.10971186,498.753820648,392.254799762,70.808374512,35.6906463749
 12/21  12:00:00,1489.61236977,101.919699653,582.946723098,0.0,243.2593065,310.10971186,498.170204821,382.666946076,70.808374512,44.6948842322
 12/21  13:00:00,1440.64551213,102.220119083,575.352688152,0.0,243.2593065,310.10971186,481.723809779,375.347508479,70.808374512,35.5679267876
 12/21  14:00:00,1471.29547906,102.616257061,572.09047183,0.0,243.2593065,302.612436532,464.154499487,362.817125614,56.6466996096,44.6906742635
 12/21  15:00:00,1473.87179043,102.834449469,574.570546489,0.0,243.2593065,302.612436532,443.955548974,356.856933283,42.4850247072,44.6135909833
 12/21  16:00:00,1474.13199741,103.160041012,574.818252959,0.0,243.2593065,302.612436532,448.421851214,356.171172829,56.6466996096,35.6039787754
 12/21  17:00:00,1483.99310264,103.56095062,574.036286558,0.0,243.2593065,310.10971186,482.495458955,362.114321428,84.9700494144,35.4110881127
 12/21  18:00:00,1499.16896236,103.922694477,577.55817444,0.0,243.2593065,310.10971186,469.516969578,367.017438428,84.9700494144,17.5294817355
 12/21  19:00:00,1248.30749117,96.1775156129,600.744260927,0.0,166.938926447,199.110933808,471.891683402,369.455790139,84.9700494144,17.4658438491
 12/21  20:00:00,1245.25679218,96.1775156129,604.67379721,0.0,166.938926447,191.61365848,449.772904381,375.663605933,56.6466996096,17.4625988384
 12/21  21:00:00,1110.8683836,96.1775156129,604.205923247,0.0,100.150657288,124.558693486,490.444066299,416.332625007,56.6466996096,17.4647416825
 12/21  22:00:00,1070.49696559,96.1775156129,603.40249368,0.0,100.150657288,124.558693486,482.287746478,422.383261457,42.4850247072,17.4194603138
 12/21  23:00:00,1003.05151056,96.1775156129,603.593097602,0.0,46.0930336215,124.558693486,477.076341559,440.03604468,28.3233498048,8.71694707453
