Month,Scaling Factor
01,0.2795239614056766
02,0.3803487491723651
03,0.32376833641488945
04,0.3378512287572551
05,0.29809682443442587
06,0.44779865859178336
07,0.5431617522408999
08,0.42775534888542655
09,0.26564372972898004
10,0.20332224104199292
11,0.23647912601280416
12,0.2656134581780504
