Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 5, 01:00 am",0,0,-6.1,0,5.2
"Jan 5, 02:00 am",0,0,-6.1,0,6.2
"Jan 5, 03:00 am",0,0,-6.7,0,6.2
"Jan 5, 04:00 am",0,0,-6.7,0,5.2
"Jan 5, 05:00 am",0,0,-7.2,0,4.6
"Jan 5, 06:00 am",0,0,-7.2,0,4.1
"Jan 5, 07:00 am",6.21063,5,-6.7,71.6805,4.1
"Jan 5, 08:00 am",55.7126,46,-6.7,64.6677,4.6
"Jan 5, 09:00 am",226.305,142,-5.6,52.7456,4.6
"Jan 5, 10:00 am",465.642,242,-3.9,42.4737,5.2
"Jan 5, 11:00 am",655.522,343,-2.8,35.4283,8.2
"Jan 5, 12:00 pm",698.814,366,-2.2,33.7215,8.2
"Jan 5, 01:00 pm",659.51,337,-2.8,38.0822,7.7
"Jan 5, 02:00 pm",345.22,206,-2.8,46.8384,6.7
"Jan 5, 03:00 pm",202.294,125,-3.9,58.012,5.7
"Jan 5, 04:00 pm",81.8341,33,-5,69.1731,4.6
"Jan 5, 05:00 pm",0,0,-6.1,0,3.6
"Jan 5, 06:00 pm",0,0,-7.2,0,2.6
"Jan 5, 07:00 pm",0,0,-7.8,0,2.6
"Jan 5, 08:00 pm",0,0,-6.7,0,2.6
"Jan 5, 09:00 pm",0,0,-8.3,0,0
"Jan 5, 10:00 pm",0,0,-8.9,0,3.1
"Jan 5, 11:00 pm",0,0,-10,0,3.1
"Jan 6, 12:00 am",0,0,-10,0,2.1
"Jan 6, 01:00 am",0,0,-10.6,0,2.1
"Jan 6, 02:00 am",0,0,-10.6,0,0
"Jan 6, 03:00 am",0,0,-11.1,0,1.5
"Jan 6, 04:00 am",0,0,-11.7,0,3.1
"Jan 6, 05:00 am",0,0,-11.7,0,1.5
"Jan 6, 06:00 am",0,0,-12.2,0,0
"Jan 6, 07:00 am",5.59072,4,-13.3,71.7488,2.6
"Jan 6, 08:00 am",135.572,60,-10.6,64.7139,2.6
"Jan 6, 09:00 am",425.78,183,-7.2,52.7653,3.6
"Jan 6, 10:00 am",611.19,294,-5.6,42.455,0
"Jan 6, 11:00 am",628.298,344,-3.9,35.3568,2.6
"Jan 6, 12:00 pm",689.919,372,-3.3,33.5977,3.1
"Jan 6, 01:00 pm",679.39,351,-2.8,37.9319,3.1
"Jan 6, 02:00 pm",499.765,250,-2.2,46.6857,2.6
"Jan 6, 03:00 pm",317.504,138,-2.2,57.8664,2.1
"Jan 6, 04:00 pm",6.96193,7,-3.3,69.1428,3.1
"Jan 6, 05:00 pm",0,0,-3.9,0,3.6
"Jan 6, 06:00 pm",0,0,-3.9,0,4.1
"Jan 6, 07:00 pm",0,0,-3.3,0,5.2
"Jan 6, 08:00 pm",0,0,-1.7,0,3.6
"Jan 6, 09:00 pm",0,0,-1.7,0,4.1
"Jan 6, 10:00 pm",0,0,-0.6,0,8.2
"Jan 6, 11:00 pm",0,0,0.6,0,9.3
"Jan 7, 12:00 am",0,0,1.1,0,6.2
"Jan 7, 01:00 am",0,0,1.7,0,7.7
"Jan 7, 02:00 am",0,0,2.8,0,12.4
"Jan 7, 03:00 am",0,0,2.2,0,13.4
"Jan 7, 04:00 am",0,0,0,0,11.8
"Jan 7, 05:00 am",0,0,0,0,11.8
"Jan 7, 06:00 am",0,0,1.7,0,12.9
"Jan 7, 07:00 am",0,0,2.2,71.8182,11.8
"Jan 7, 08:00 am",25.8606,27,2.2,64.7559,18
"Jan 7, 09:00 am",117.819,95,0.6,52.7798,15.4
"Jan 7, 10:00 am",589.477,292,0,42.4301,18
"Jan 7, 11:00 am",340.519,259,-1.1,35.2783,15.4
"Jan 7, 12:00 pm",235.656,216,-1.1,33.4669,15.4
"Jan 7, 01:00 pm",173.772,169,-0.6,37.7762,12.4
"Jan 7, 02:00 pm",147.811,139,-1.7,46.5292,15.4
"Jan 7, 03:00 pm",93.9255,86,-1.7,57.7186,15.4
"Jan 7, 04:00 pm",16.1323,18,-2.8,69.1142,12.9
"Jan 7, 05:00 pm",0,0,-2.2,0,15.4
"Jan 7, 06:00 pm",0,0,-1.7,0,11.3
"Jan 7, 07:00 pm",0,0,-3.3,0,10.3
"Jan 7, 08:00 pm",0,0,-4.4,0,11.3
"Jan 7, 09:00 pm",0,0,-5,0,8.8
"Jan 7, 10:00 pm",0,0,-5,0,10.8
"Jan 7, 11:00 pm",0,0,-5,0,9.3
"Jan 8, 12:00 am",0,0,-5.6,0,8.2
"Jan 8, 01:00 am",0,0,-5.6,0,8.8
"Jan 8, 02:00 am",0,0,-5.6,0,9.3
"Jan 8, 03:00 am",0,0,-6.1,0,8.2
"Jan 8, 04:00 am",0,0,-6.1,0,8.8
"Jan 8, 05:00 am",0,0,-6.7,0,6.2
"Jan 8, 06:00 am",0,0,-6.7,0,8.8
"Jan 8, 07:00 am",3.6961,4,-7.2,71.8885,7.2
"Jan 8, 08:00 am",43.3141,40,-7.2,64.7937,6.7
"Jan 8, 09:00 am",453.757,197,-7.2,52.7892,8.8
"Jan 8, 10:00 am",566.962,284,-6.1,42.3991,8.2
"Jan 8, 11:00 am",740.492,379,-5.6,35.1929,7.7
"Jan 8, 12:00 pm",419.07,291,-4.4,33.3292,9.8
"Jan 8, 01:00 pm",602.785,334,-4.4,37.615,9.3
"Jan 8, 02:00 pm",121.746,121,-5,46.3691,7.2
"Jan 8, 03:00 pm",83.0098,80,-4.4,57.5686,10.3
"Jan 8, 04:00 pm",27.4498,26,-3.9,69.0874,10.3
"Jan 8, 05:00 pm",0,0,-4.4,0,10.3
"Jan 8, 06:00 pm",0,0,-5.6,0,6.2
"Jan 8, 07:00 pm",0,0,-5.6,0,6.7
"Jan 8, 08:00 pm",0,0,-6.1,0,5.7
"Jan 8, 09:00 pm",0,0,-6.1,0,6.2
"Jan 8, 10:00 pm",0,0,-6.7,0,6.7
"Jan 8, 11:00 pm",0,0,-7.2,0,6.7
"Jan 9, 12:00 am",0,0,-7.8,0,6.2
"Jan 9, 01:00 am",0,0,-8.3,0,9.3
"Jan 9, 02:00 am",0,0,-9.4,0,6.2
"Jan 9, 03:00 am",0,0,-9.4,0,3.6
"Jan 9, 04:00 am",0,0,-9.4,0,4.6
"Jan 9, 05:00 am",0,0,-9.4,0,3.6
"Jan 9, 06:00 am",0,0,-9.4,0,5.2
"Jan 9, 07:00 am",0.924024,1,-9.4,71.9597,4.1
"Jan 9, 08:00 am",64.964,53,-8.9,64.8271,3.6
"Jan 9, 09:00 am",116.753,110,-8.3,52.7933,4.1
"Jan 9, 10:00 am",165.828,158,-6.7,42.362,5.7
"Jan 9, 11:00 am",267.215,215,-6.1,35.1006,5.2
"Jan 9, 12:00 pm",180.499,176,-5,33.1847,8.2
"Jan 9, 01:00 pm",289.708,228,-5,37.4484,8.8
"Jan 9, 02:00 pm",391.653,215,-5,46.2055,7.7
"Jan 9, 03:00 pm",113.671,101,-5,57.4166,8.2
"Jan 9, 04:00 pm",13.785,16,-5.6,69.0625,8.2
"Jan 9, 05:00 pm",0,0,-6.7,0,8.8
"Jan 9, 06:00 pm",0,0,-7.2,0,8.2
"Jan 9, 07:00 pm",0,0,-8.3,0,8.8
"Jan 9, 08:00 pm",0,0,-9.4,0,5.7
"Jan 9, 09:00 pm",0,0,-9.4,0,6.7
"Jan 9, 10:00 pm",0,0,-10,0,5.2
"Jan 9, 11:00 pm",0,0,-10.6,0,4.1
"Jan 10, 12:00 am",0,0,-11.1,0,3.6
"Jan 10, 01:00 am",0,0,-11.7,0,3.6
"Jan 10, 02:00 am",0,0,-11.1,0,2.1
"Jan 10, 03:00 am",0,0,-12.2,0,3.6
"Jan 10, 04:00 am",0,0,-13.3,0,3.1
"Jan 10, 05:00 am",0,0,-13.3,0,4.6
"Jan 10, 06:00 am",0,0,-11.7,0,4.6
"Jan 10, 07:00 am",6.77955,6,-10,72.0317,4.1
"Jan 10, 08:00 am",188.035,67,-9.4,64.8562,3.6
"Jan 10, 09:00 am",465.19,204,-6.7,52.7923,3.6
"Jan 10, 10:00 am",556.483,289,-3.9,42.3189,3.6
"Jan 10, 11:00 am",525.611,334,-2.8,35.0014,2.6
"Jan 10, 12:00 pm",571.932,356,-1.1,33.0335,4.1
"Jan 10, 01:00 pm",642.415,363,-1.7,37.2766,5.2
"Jan 10, 02:00 pm",469.079,258,-0.6,46.0385,5.2
"Jan 10, 03:00 pm",210.501,134,-0.6,57.2627,5.2
"Jan 10, 04:00 pm",31.7915,27,-0.6,69.0395,4.1
"Jan 10, 05:00 pm",0,0,-1.7,0,4.6
"Jan 10, 06:00 pm",0,0,-1.7,0,3.1
"Jan 10, 07:00 pm",0,0,0,0,3.6
"Jan 10, 08:00 pm",0,0,1.1,0,5.2
"Jan 10, 09:00 pm",0,0,1.1,0,5.2
"Jan 10, 10:00 pm",0,0,1.1,0,6.7
"Jan 10, 11:00 pm",0,0,3.9,0,7.7
"Jan 11, 12:00 am",0,0,3.9,0,8.8
"Jan 11, 01:00 am",0,0,5,0,9.3
"Jan 11, 02:00 am",0,0,4.4,0,7.2
"Jan 11, 03:00 am",0,0,4.4,0,7.2
"Jan 11, 04:00 am",0,0,5,0,9.8
"Jan 11, 05:00 am",0,0,5.6,0,9.3
"Jan 11, 06:00 am",0,0,6.1,0,8.2
"Jan 11, 07:00 am",0.924024,1,5.6,72.1046,8.8
"Jan 11, 08:00 am",19.7096,22,6.7,64.881,11.8
"Jan 11, 09:00 am",48.856,51,7.8,52.7861,13.4
"Jan 11, 10:00 am",82.0926,87,8.9,42.2696,12.4
"Jan 11, 11:00 am",95.0652,101,9.4,34.8953,15.4
"Jan 11, 12:00 pm",96.1559,103,9.4,32.8755,12.4
"Jan 11, 01:00 pm",94.3933,100,10,37.0996,12.9
"Jan 11, 02:00 pm",87.5647,93,10.6,45.8682,14.4
"Jan 11, 03:00 pm",105.833,98,11.7,57.1071,13.4
"Jan 11, 04:00 pm",36.0581,33,11.1,69.0183,12.4
"Jan 11, 05:00 pm",0,0,11.1,0,10.3
"Jan 11, 06:00 pm",0,0,6.1,0,15.4
"Jan 11, 07:00 pm",0,0,3.3,0,11.8
"Jan 11, 08:00 pm",0,0,2.2,0,11.8
"Jan 11, 09:00 pm",0,0,1.1,0,14.4
"Jan 11, 10:00 pm",0,0,0,0,15.4
"Jan 11, 11:00 pm",0,0,-1.1,0,13.9
"Jan 12, 12:00 am",0,0,-2.8,0,13.4
"Jan 12, 01:00 am",0,0,-3.9,0,16.5
