Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Mar 4, 04:00 pm",155.387,142,-5,63.8103,6.7
"Mar 4, 05:00 pm",23.7312,26,-5,78.2071,5.7
"Mar 4, 06:00 pm",0,0,-5,85.5473,5.7
"Mar 4, 07:00 pm",0,0,-5.6,0,5.2
"Mar 4, 08:00 pm",0,0,-5.6,0,4.1
"Mar 4, 09:00 pm",0,0,-5.6,0,3.6
"Mar 4, 10:00 pm",0,0,-5.6,0,4.6
"Mar 4, 11:00 pm",0,0,-6.1,0,4.1
"Mar 5, 12:00 am",0,0,-7.2,0,7.7
"Mar 5, 01:00 am",0,0,-8.3,0,5.7
"Mar 5, 02:00 am",0,0,-8.9,0,3.1
"Mar 5, 03:00 am",0,0,-10,0,3.6
"Mar 5, 04:00 am",0,0,-10.6,0,0
"Mar 5, 05:00 am",0,0,-11.1,0,1.5
"Mar 5, 06:00 am",2.93149,3,-11.7,83.0858,1.5
"Mar 5, 07:00 am",135.879,75,-10,74.6788,2.6
"Mar 5, 08:00 am",401.768,250,-8.3,60.2923,3.1
"Mar 5, 09:00 am",658.598,429,-7.2,46.1667,3.6
"Mar 5, 10:00 am",818.284,546,-6.1,32.7358,4.1
"Mar 5, 11:00 am",913.731,624,-5.6,21.3805,3.6
"Mar 5, 12:00 pm",906.935,626,-4.4,16.9762,5.2
"Mar 5, 01:00 pm",861.941,596,-4.4,23.7678,4.6
"Mar 5, 02:00 pm",694.888,488,-3.9,35.8771,5.2
"Mar 5, 03:00 pm",398.095,306,-5,49.5433,5.2
"Mar 5, 04:00 pm",263.433,198,-5,63.7625,5.7
"Mar 5, 05:00 pm",63.9509,53,-6.1,78.1818,5.2
"Mar 5, 06:00 pm",0,0,-7.2,85.6927,4.6
"Mar 5, 07:00 pm",0,0,-7.8,0,6.2
"Mar 5, 08:00 pm",0,0,-8.9,0,4.1
"Mar 5, 09:00 pm",0,0,-8.9,0,4.6
"Mar 5, 10:00 pm",0,0,-9.4,0,4.6
"Mar 5, 11:00 pm",0,0,-10,0,4.1
"Mar 6, 12:00 am",0,0,-10.6,0,3.6
"Mar 6, 01:00 am",0,0,-10.6,0,3.6
"Mar 6, 02:00 am",0,0,-10.6,0,2.6
"Mar 6, 03:00 am",0,0,-11.1,0,3.6
"Mar 6, 04:00 am",0,0,-11.1,0,3.6
"Mar 6, 05:00 am",0,0,-11.1,0,3.6
"Mar 6, 06:00 am",4.93845,5,-11.1,83.1736,3.6
"Mar 6, 07:00 am",153.267,84,-9.4,74.5396,4.6
"Mar 6, 08:00 am",429.219,266,-8.3,60.1307,6.7
"Mar 6, 09:00 am",674.528,445,-7.2,45.9734,7.2
"Mar 6, 10:00 am",845.776,570,-6.7,32.4886,6.2
"Mar 6, 11:00 am",988.577,678,-6.7,21.0405,7.7
"Mar 6, 12:00 pm",930.396,642,-6.7,16.5977,6.7
"Mar 6, 01:00 pm",960.762,663,-6.7,23.5358,5.7
"Mar 6, 02:00 pm",838.099,578,-6.7,35.7482,7.2
"Mar 6, 03:00 pm",631.845,429,-6.7,49.4677,7.7
"Mar 6, 04:00 pm",380.497,249,-7.2,63.7174,6.2
"Mar 6, 05:00 pm",117.39,70,-8.3,78.1582,5.2
"Mar 6, 06:00 pm",2.79144,4,-9.4,85.8385,3.6
"Mar 6, 07:00 pm",0,0,-10,0,2.1
"Mar 6, 08:00 pm",0,0,-10.6,0,2.1
"Mar 6, 09:00 pm",0,0,-11.1,0,2.1
"Mar 6, 10:00 pm",0,0,-11.1,0,1.5
"Mar 6, 11:00 pm",0,0,-11.7,0,2.1
"Mar 7, 12:00 am",0,0,-12.2,0,2.6
"Mar 7, 01:00 am",0,0,-12.8,0,2.6
"Mar 7, 02:00 am",0,0,-12.8,0,2.1
"Mar 7, 03:00 am",0,0,-12.8,0,2.6
"Mar 7, 04:00 am",0,0,-13.3,0,2.6
"Mar 7, 05:00 am",0,0,-13.3,0,2.1
"Mar 7, 06:00 am",6.74759,6,-13.3,83.2599,2.6
"Mar 7, 07:00 am",161.036,89,-11.1,74.3988,3.6
"Mar 7, 08:00 am",432.927,272,-9.4,59.9682,4.6
"Mar 7, 09:00 am",683.437,454,-7.2,45.78,5.2
"Mar 7, 10:00 am",872.387,592,-6.1,32.2418,5.2
"Mar 7, 11:00 am",990.105,682,-4.4,20.7001,4.1
"Mar 7, 12:00 pm",1023.47,709,-3.3,16.2188,4.6
"Mar 7, 01:00 pm",971.498,675,-2.8,23.3082,5.2
"Mar 7, 02:00 pm",836.221,579,-2.2,35.6236,3.6
"Mar 7, 03:00 pm",626.206,430,-1.7,49.3954,5.2
"Mar 7, 04:00 pm",375.625,250,-2.2,63.6749,4.1
"Mar 7, 05:00 pm",115.599,71,-3.3,78.1365,4.6
"Mar 7, 06:00 pm",2.61832,3,-5.6,85.9846,4.6
"Mar 7, 07:00 pm",0,0,-6.7,0,4.1
"Mar 7, 08:00 pm",0,0,-6.7,0,3.6
"Mar 7, 09:00 pm",0,0,-7.8,0,3.1
"Mar 7, 10:00 pm",0,0,-7.8,0,3.6
"Mar 7, 11:00 pm",0,0,-8.3,0,3.6
"Mar 8, 12:00 am",0,0,-8.9,0,3.1
"Mar 8, 01:00 am",0,0,-8.9,0,2.6
"Mar 8, 02:00 am",0,0,-9.4,0,1.5
"Mar 8, 03:00 am",0,0,-10.6,0,2.6
"Mar 8, 04:00 am",0,0,-10.6,0,2.1
"Mar 8, 05:00 am",0,0,-11.7,0,1.5
"Mar 8, 06:00 am",6.59028,7,-9.4,83.3449,3.1
"Mar 8, 07:00 am",152.167,89,-6.7,74.2566,3.6
"Mar 8, 08:00 am",383.005,253,-3.3,59.8051,2.1
"Mar 8, 09:00 am",591.668,398,1.1,45.5865,3.6
"Mar 8, 10:00 am",804.113,549,3.3,31.9955,3.6
"Mar 8, 11:00 am",911.14,628,5,20.3596,2.6
"Mar 8, 12:00 pm",870.777,607,6.1,15.8396,2.6
"Mar 8, 01:00 pm",891.04,626,6.7,23.0853,3.1
"Mar 8, 02:00 pm",717.437,513,7.2,35.5034,4.1
"Mar 8, 03:00 pm",569.048,395,7.2,49.3266,5.2
"Mar 8, 04:00 pm",345.103,236,6.7,63.6351,4.6
"Mar 8, 05:00 pm",105.016,68,5,78.1165,4.1
"Mar 8, 06:00 pm",1.19392,2,1.1,86.1311,3.6
"Mar 8, 07:00 pm",0,0,0.6,0,3.1
"Mar 8, 08:00 pm",0,0,0.6,0,3.6
"Mar 8, 09:00 pm",0,0,0.6,0,3.6
"Mar 8, 10:00 pm",0,0,0.6,0,3.1
"Mar 8, 11:00 pm",0,0,1.1,0,4.1
"Mar 9, 12:00 am",0,0,1.1,0,3.1
"Mar 9, 01:00 am",0,0,2.8,0,2.6
"Mar 9, 02:00 am",0,0,1.7,0,2.6
"Mar 9, 03:00 am",0,0,2.2,0,3.1
"Mar 9, 04:00 am",0,0,2.2,0,3.6
"Mar 9, 05:00 am",0,0,2.2,0,3.1
"Mar 9, 06:00 am",1.96249,2,3.3,83.4287,2.6
"Mar 9, 07:00 am",24.3922,26,2.2,74.1129,2.6
"Mar 9, 08:00 am",117.518,123,1.7,59.6414,3.1
"Mar 9, 09:00 am",123.68,131,2.8,45.3932,3.1
"Mar 9, 10:00 am",256.98,263,3.9,31.75,3.1
"Mar 9, 11:00 am",250.472,259,5.6,20.0191,1.5
"Mar 9, 12:00 pm",167.847,180,6.1,15.4604,1.5
"Mar 9, 01:00 pm",153.926,165,6.7,22.8672,2.1
"Mar 9, 02:00 pm",166.323,177,6.1,35.3877,2.1
"Mar 9, 03:00 pm",127.068,136,6.7,49.2613,2.6
"Mar 9, 04:00 pm",133.138,138,7.2,63.5979,2.1
"Mar 9, 05:00 pm",25.3147,28,6.7,78.0982,2.1
"Mar 9, 06:00 pm",1.84805,2,6.1,86.2778,0
"Mar 9, 07:00 pm",0,0,6.1,0,0
"Mar 9, 08:00 pm",0,0,6.1,0,3.1
"Mar 9, 09:00 pm",0,0,4.4,0,4.6
"Mar 9, 10:00 pm",0,0,3.9,0,3.6
"Mar 9, 11:00 pm",0,0,3.3,0,3.6
"Mar 10, 12:00 am",0,0,2.8,0,4.1
"Mar 10, 01:00 am",0,0,2.2,0,3.6
"Mar 10, 02:00 am",0,0,1.7,0,3.1
"Mar 10, 03:00 am",0,0,1.7,0,3.6
"Mar 10, 04:00 am",0,0,2.2,0,3.6
"Mar 10, 05:00 am",0,0,2.2,0,2.6
"Mar 10, 06:00 am",4.62012,5,1.7,83.5113,3.6
"Mar 10, 07:00 am",27.7905,31,1.7,73.9681,4.6
"Mar 10, 08:00 am",73.4039,81,2.8,59.4773,6.2
"Mar 10, 09:00 am",113.065,122,3.3,45.2002,5.7
"Mar 10, 10:00 am",292.978,297,4.4,31.5054,5.7
"Mar 10, 11:00 am",284.32,292,4.4,19.679,4.6
"Mar 10, 12:00 pm",336.792,340,5,15.0813,4.6
"Mar 10, 01:00 pm",512.748,431,6.1,22.6542,5.2
"Mar 10, 02:00 pm",211.064,220,6.7,35.2764,3.1
"Mar 10, 03:00 pm",160.123,169,6.7,49.1994,2.1
"Mar 10, 04:00 pm",105.721,113,6.7,63.5632,2.6
"Mar 10, 05:00 pm",26.2143,29,7.2,78.0816,2.6
"Mar 10, 06:00 pm",2.77207,3,6.7,86.425,2.1
"Mar 10, 07:00 pm",0,0,6.7,0,2.1
"Mar 10, 08:00 pm",0,0,6.7,0,2.6
"Mar 10, 09:00 pm",0,0,6.1,0,2.1
"Mar 10, 10:00 pm",0,0,6.7,0,2.6
"Mar 10, 11:00 pm",0,0,7.8,0,3.6
"Mar 11, 12:00 am",0,0,9.4,0,2.6
"Mar 11, 01:00 am",0,0,9.4,0,2.1
"Mar 11, 02:00 am",0,0,5.6,0,4.1
"Mar 11, 03:00 am",0,0,4.4,0,4.1
"Mar 11, 04:00 am",0,0,4.4,0,2.1
"Mar 11, 05:00 am",0,0,3.9,0,3.1
"Mar 11, 06:00 am",4.62012,5,3.9,83.5929,3.6
"Mar 11, 07:00 am",29.8721,33,3.9,73.8221,3.6
"Mar 11, 08:00 am",75.8392,82,5,59.3129,3.6
"Mar 11, 09:00 am",114.221,124,5.6,45.0076,4.1
"Mar 11, 10:00 am",287.923,293,6.7,31.2619,3.6
"Mar 11, 11:00 am",311.003,317,6.7,19.3393,4.6
"Mar 11, 12:00 pm",321.929,327,7.8,14.7025,5.2
"Mar 11, 01:00 pm",332.685,337,7.8,22.4465,6.2
"Mar 11, 02:00 pm",160.351,172,7.8,35.1697,4.6
"Mar 11, 03:00 pm",129.781,139,7.2,49.1409,4.1
"Mar 11, 04:00 pm",80.303,87,6.7,63.531,4.1
"Mar 11, 05:00 pm",30.8697,34,6.7,78.0667,4.6
"Mar 11, 06:00 pm",2.77207,3,6.7,86.5724,3.6
"Mar 11, 07:00 pm",0,0,6.7,0,4.1
"Mar 11, 08:00 pm",0,0,6.7,0,5.7
"Mar 11, 09:00 pm",0,0,6.1,0,4.6
"Mar 11, 10:00 pm",0,0,6.7,0,4.6
"Mar 11, 11:00 pm",0,0,8.9,0,4.1
"Mar 12, 12:00 am",0,0,10.6,0,5.7
"Mar 12, 01:00 am",0,0,6.7,0,3.6
"Mar 12, 02:00 am",0,0,5,0,1.5
"Mar 12, 03:00 am",0,0,5,0,0
"Mar 12, 04:00 am",0,0,5.6,0,2.1
"Mar 12, 05:00 am",0,0,5.6,0,2.1
"Mar 12, 06:00 am",9.24024,10,6.1,83.6735,2.1
"Mar 12, 07:00 am",33.1978,37,7.2,73.6752,3.6
"Mar 12, 08:00 am",127.062,134,8.3,59.1483,3.1
"Mar 12, 09:00 am",220.551,227,11.1,44.8156,2.6
"Mar 12, 10:00 am",266.829,274,12.2,31.0198,1.5
"Mar 12, 11:00 am",183.696,195,11.1,19.0003,2.1
"Mar 12, 12:00 pm",790.418,593,17.8,14.3242,7.7
"Mar 12, 01:00 pm",334.945,310,14.4,22.2443,9.8
"Mar 12, 02:00 pm",724.062,538,15,35.0676,9.3
"Mar 12, 03:00 pm",425.844,342,14.4,49.0859,8.2
"Mar 12, 04:00 pm",212.726,184,15,63.5014,6.2
"Mar 12, 05:00 pm",94.7963,72,13.3,78.0533,5.2
"Mar 12, 06:00 pm",4.79176,5,10.6,86.7201,6.2
"Mar 12, 07:00 pm",0,0,11.1,0,4.6
"Mar 12, 08:00 pm",0,0,10,0,6.2
"Mar 12, 09:00 pm",0,0,10.6,0,6.2
"Mar 12, 10:00 pm",0,0,11.7,0,4.6
"Mar 12, 11:00 pm",0,0,10.6,0,4.1
"Mar 13, 12:00 am",0,0,13.9,0,8.8
"Mar 13, 01:00 am",0,0,12.2,0,8.8
"Mar 13, 02:00 am",0,0,12.2,0,9.3
"Mar 13, 03:00 am",0,0,11.1,0,7.7
"Mar 13, 04:00 am",0,0,8.9,0,6.2
"Mar 13, 05:00 am",0,0,8.3,0,6.7
"Mar 13, 06:00 am",10.1643,11,6.7,83.7532,7.7
"Mar 13, 07:00 am",50.9636,55,6.7,73.5275,7.7
"Mar 13, 08:00 am",108.552,115,6.1,58.9837,7.2
"Mar 13, 09:00 am",174.307,181,7.2,44.6244,7.2
"Mar 13, 10:00 am",222.218,230,7.8,30.7792,6.7
"Mar 13, 11:00 am",294.812,303,7.8,18.6623,7.7
"Mar 13, 12:00 pm",288.458,298,8.9,13.9466,7.2
"Mar 13, 01:00 pm",343.093,347,10,22.0478,7.7
"Mar 13, 02:00 pm",286.267,293,10,34.97,7.2
"Mar 13, 03:00 pm",203.56,212,10.6,49.0342,6.2
"Mar 13, 04:00 pm",126.676,133,10,63.4741,5.2
"Mar 13, 05:00 pm",49.4028,53,10,78.0415,5.2
"Mar 13, 06:00 pm",5.54414,6,11.1,86.8681,4.6
"Mar 13, 07:00 pm",0,0,11.7,0,4.6
"Mar 13, 08:00 pm",0,0,12.2,0,4.6
"Mar 13, 09:00 pm",0,0,12.8,0,2.6
"Mar 13, 10:00 pm",0,0,12.8,0,3.1
"Mar 13, 11:00 pm",0,0,13.3,0,4.1
"Mar 14, 12:00 am",0,0,12.8,0,3.6
"Mar 14, 01:00 am",0,0,12.2,0,2.6
"Mar 14, 02:00 am",0,0,11.7,0,1.5
"Mar 14, 03:00 am",0,0,11.1,0,2.1
"Mar 14, 04:00 am",0,0,11.7,0,3.6
"Mar 14, 05:00 am",0,0,12.2,0,4.1
"Mar 14, 06:00 am",14.3463,14,12.2,83.832,3.6
"Mar 14, 07:00 am",141.687,107,13.9,73.3791,3.6
"Mar 14, 08:00 am",248.87,207,15.6,58.8192,3.6
"Mar 14, 09:00 am",525.507,384,19.4,44.434,4.1
"Mar 14, 10:00 am",742.73,536,22.2,30.5403,6.2
"Mar 14, 11:00 am",886.056,638,23.9,18.3256,7.2
"Mar 14, 12:00 pm",820.396,609,25,13.5699,6.2
"Mar 14, 01:00 pm",755.044,554,25,21.8571,8.2
"Mar 14, 02:00 pm",378.08,348,24.4,34.8771,6.7
"Mar 14, 03:00 pm",194.99,203,23.9,48.9858,4.1
"Mar 14, 04:00 pm",83.3863,91,22.8,63.4492,4.1
"Mar 14, 05:00 pm",88.8,70,21.1,78.0312,4.1
"Mar 14, 06:00 pm",7.73033,11,19.4,87.0163,4.1
"Mar 14, 07:00 pm",0,0,18.3,0,4.1
"Mar 14, 08:00 pm",0,0,17.2,0,3.1
"Mar 14, 09:00 pm",0,0,16.1,0,3.1
"Mar 14, 10:00 pm",0,0,13.9,0,2.6
"Mar 14, 11:00 pm",0,0,14.4,0,3.6
"Mar 15, 12:00 am",0,0,14.4,0,3.1
"Mar 15, 01:00 am",0,0,13.9,0,4.1
"Mar 15, 02:00 am",0,0,14.4,0,3.6
"Mar 15, 03:00 am",0,0,15,0,3.1
"Mar 15, 04:00 am",0,0,15,0,4.1
"Mar 15, 05:00 am",0,0,15,0,3.6
"Mar 15, 06:00 am",8.15188,9,15.6,83.9101,3.6
"Mar 15, 07:00 am",79.9988,76,16.1,73.23,4.1
"Mar 15, 08:00 am",326.375,254,18.3,58.6549,2.6
"Mar 15, 09:00 am",459.867,362,22.2,44.2447,5.2
"Mar 15, 10:00 am",314.527,276,23.9,30.3033,5.7
"Mar 15, 11:00 am",555.861,474,25,17.9902,7.2
"Mar 15, 12:00 pm",724.009,550,25,13.1944,7.7
"Mar 15, 01:00 pm",855.133,645,26.1,21.6725,6.7
"Mar 15, 02:00 pm",440.857,376,25.6,34.7889,4.6
"Mar 15, 03:00 pm",213.077,220,25,48.9407,3.1
"Mar 15, 04:00 pm",194.298,174,25,63.4266,2.6
"Mar 15, 05:00 pm",74.0446,67,23.9,78.0223,2.1
"Mar 15, 06:00 pm",6.46817,7,21.1,87.1647,2.6
"Mar 15, 07:00 pm",0,0,21.1,0,0
"Mar 15, 08:00 pm",0,0,18.9,0,1.5
"Mar 15, 09:00 pm",0,0,16.7,0,2.6
"Mar 15, 10:00 pm",0,0,17.2,0,3.6
"Mar 15, 11:00 pm",0,0,17.2,0,3.6
"Mar 16, 12:00 am",0,0,17.2,0,3.6
"Mar 16, 01:00 am",0,0,18.9,0,4.6
"Mar 16, 02:00 am",0,0,18.9,0,3.6
"Mar 16, 03:00 am",0,0,20,0,3.6
"Mar 16, 04:00 am",0,0,14.4,0,4.1
"Mar 16, 05:00 am",0,0,12.2,0,4.1
"Mar 16, 06:00 am",20.6137,22,10.6,83.9876,3.6
"Mar 16, 07:00 am",66.2789,70,10.6,73.0806,3.1
"Mar 16, 08:00 am",230.407,197,12.2,58.4909,4.1
"Mar 16, 09:00 am",248.787,253,13.9,44.0565,6.2
"Mar 16, 10:00 am",142.173,151,13.3,30.0684,5.2
"Mar 16, 11:00 am",229.333,239,13.9,17.6567,4.6
"Mar 16, 12:00 pm",364.008,369,14.4,12.8203,2.6
"Mar 16, 01:00 pm",261.216,271,18.9,21.494,4.6
"Mar 16, 02:00 pm",128.396,139,19.4,34.7052,8.2
"Mar 16, 03:00 pm",195.339,205,15.6,48.8989,9.3
"Mar 16, 04:00 pm",136.665,145,9.4,63.4063,4.6
"Mar 16, 05:00 pm",53.0208,57,10,78.0148,3.1
"Mar 16, 06:00 pm",8.31622,9,10.6,87.3133,6.2
"Mar 16, 07:00 pm",0,0,11.1,0,4.1
"Mar 16, 08:00 pm",0,0,12.2,0,3.1
"Mar 16, 09:00 pm",0,0,11.1,0,3.1
"Mar 16, 10:00 pm",0,0,11.7,0,3.1
"Mar 16, 11:00 pm",0,0,10.6,0,4.1
"Mar 17, 12:00 am",0,0,10.6,0,2.6
"Mar 17, 01:00 am",0,0,10.6,0,3.1
"Mar 17, 02:00 am",0,0,11.1,0,3.1
"Mar 17, 03:00 am",0,0,10.6,0,2.6
"Mar 17, 04:00 am",0,0,10.6,0,3.6
"Mar 17, 05:00 am",0,0,10,0,4.6
"Mar 17, 06:00 am",8.94101,10,9.4,84.0643,5.2
"Mar 17, 07:00 am",44.6481,49,9.4,72.9308,5.2
"Mar 17, 08:00 am",96.2549,104,9.4,58.3274,6.2
"Mar 17, 09:00 am",134.01,144,10,43.8697,7.7
"Mar 17, 10:00 am",632.671,477,11.1,29.8358,7.7
"Mar 17, 11:00 am",243.867,256,12.2,17.3251,7.7
"Mar 17, 12:00 pm",214.738,226,12.2,12.4479,8.2
"Mar 17, 01:00 pm",262.515,272,11.7,21.322,6.7
"Mar 17, 02:00 pm",142.743,152,7.2,34.6262,9.8
"Mar 17, 03:00 pm",208.469,217,6.1,48.8603,8.8
"Mar 17, 04:00 pm",205.766,186,6.1,63.3882,9.3
"Mar 17, 05:00 pm",89.7094,78,6.1,78.0086,9.8
"Mar 17, 06:00 pm",9.07493,12,4.4,87.462,8.2
"Mar 17, 07:00 pm",0,0,5,0,7.2
"Mar 17, 08:00 pm",0,0,5,0,7.2
"Mar 17, 09:00 pm",0,0,5,0,6.7
"Mar 17, 10:00 pm",0,0,4.4,0,5.7
"Mar 17, 11:00 pm",0,0,3.3,0,5.2
"Mar 18, 12:00 am",0,0,3.3,0,7.2
"Mar 18, 01:00 am",0,0,3.9,0,10.8
"Mar 18, 02:00 am",0,0,3.3,0,8.8
"Mar 18, 03:00 am",0,0,2.8,0,7.7
"Mar 18, 04:00 am",0,0,2.8,0,8.2
"Mar 18, 05:00 am",0,0,2.2,0,8.2
"Mar 18, 06:00 am",11.9465,13,1.7,84.1405,8.2
"Mar 18, 07:00 am",74.7181,78,2.2,72.7808,7.7
"Mar 18, 08:00 am",138.125,145,1.1,58.1646,8.2
"Mar 18, 09:00 am",180.617,190,0,43.6844,7.7
"Mar 18, 10:00 am",249.382,259,1.1,29.6057,6.7
"Mar 18, 11:00 am",276.554,286,1.7,16.9957,9.3
"Mar 18, 12:00 pm",386.997,361,2.2,12.0773,12.9
"Mar 18, 01:00 pm",918.929,684,2.8,21.1565,11.8
"Mar 18, 02:00 pm",562.009,458,2.8,34.5519,10.3
"Mar 18, 03:00 pm",308.983,277,2.8,48.8249,12.4
"Mar 18, 04:00 pm",353.35,277,2.8,63.3723,10.3
"Mar 18, 05:00 pm",100.077,88,2.2,78.0036,9.8
"Mar 18, 06:00 pm",9.02492,11,1.7,87.6107,8.8
"Mar 18, 07:00 pm",0,0,2.2,0,7.2
"Mar 18, 08:00 pm",0,0,2.8,0,7.2
"Mar 18, 09:00 pm",0,0,2.8,0,6.2
"Mar 18, 10:00 pm",0,0,1.7,0,5.7
"Mar 18, 11:00 pm",0,0,2.2,0,3.6
"Mar 19, 12:00 am",0,0,2.2,0,5.2
"Mar 19, 01:00 am",0,0,2.2,0,2.6
"Mar 19, 02:00 am",0,0,0.6,0,2.1
"Mar 19, 03:00 am",0,0,0,0,2.6
"Mar 19, 04:00 am",0,0,0,0,2.6
"Mar 19, 05:00 am",0,0,0,0,2.6
"Mar 19, 06:00 am",6.05925,6,0.6,84.2162,3.1
"Mar 19, 07:00 am",72.9799,77,1.1,72.6308,4.1
"Mar 19, 08:00 am",66.879,74,3.3,58.0025,5.7
"Mar 19, 09:00 am",111.633,121,3.3,43.5007,4.1
"Mar 19, 10:00 am",140.026,149,2.8,29.3783,5.2
"Mar 19, 11:00 am",173.884,186,2.8,16.669,3.1
"Mar 19, 12:00 pm",183.655,196,2.2,11.709,2.6
"Mar 19, 01:00 pm",170.905,184,2.8,20.9977,2.6
"Mar 19, 02:00 pm",161.192,173,2.8,34.4822,2.1
"Mar 19, 03:00 pm",144.229,155,2.8,48.7926,2.6
"Mar 19, 04:00 pm",80.5762,89,1.1,63.3584,5.7
"Mar 19, 05:00 pm",65.3753,70,0.6,77.9999,6.2
"Mar 19, 06:00 pm",9.24024,10,0,87.7596,7.7
"Mar 19, 07:00 pm",0,0,-1.1,0,5.7
"Mar 19, 08:00 pm",0,0,-1.1,0,7.2
"Mar 19, 09:00 pm",0,0,-1.7,0,6.2
"Mar 19, 10:00 pm",0,0,-1.7,0,5.7
"Mar 19, 11:00 pm",0,0,-2.2,0,7.2
"Mar 20, 12:00 am",0,0,-2.2,0,6.2
"Mar 20, 01:00 am",0,0,-2.2,0,6.2
"Mar 20, 02:00 am",0,0,-2.2,0,5.7
"Mar 20, 03:00 am",0,0,-2.8,0,6.2
"Mar 20, 04:00 am",0,0,-2.8,0,7.2
"Mar 20, 05:00 am",0,0,-2.8,0,6.2
"Mar 20, 06:00 am",15.2394,17,-2.8,84.2914,6.7
"Mar 20, 07:00 am",78.1798,83,-2.8,72.4808,5.7
"Mar 20, 08:00 am",159.186,167,-2.2,57.8412,5.7
"Mar 20, 09:00 am",238.318,247,-1.7,43.3188,5.2
"Mar 20, 10:00 am",319.736,327,-1.7,29.1538,5.7
"Mar 20, 11:00 am",364.839,371,-1.1,16.3451,6.2
"Mar 20, 12:00 pm",354.091,362,-0.6,11.3432,7.7
"Mar 20, 01:00 pm",325.612,334,0,20.8457,7.2
"Mar 20, 02:00 pm",315.134,323,0.6,34.417,8.2
"Mar 20, 03:00 pm",230.182,239,1.1,48.7634,6.2
"Mar 20, 04:00 pm",141.956,151,1.7,63.3466,6.2
"Mar 20, 05:00 pm",56.2584,61,2.2,77.9972,4.6
"Mar 20, 06:00 pm",11.0883,12,1.7,87.9084,4.1
"Mar 20, 07:00 pm",0,0,2.2,0,6.7
"Mar 20, 08:00 pm",0,0,1.1,0,5.7
"Mar 20, 09:00 pm",0,0,0.6,0,5.7
"Mar 20, 10:00 pm",0,0,-0.6,0,6.2
"Mar 20, 11:00 pm",0,0,-1.1,0,5.2
"Mar 21, 12:00 am",0,0,-1.7,0,4.6
"Mar 21, 01:00 am",0,0,-2.2,0,5.2
"Mar 21, 02:00 am",0,0,-2.2,0,5.7
"Mar 21, 03:00 am",0,0,-2.2,0,5.2
"Mar 21, 04:00 am",0,0,-2.2,0,5.2
"Mar 21, 05:00 am",0,0,-2.2,0,4.6
"Mar 21, 06:00 am",32.8895,31,-1.1,84.3662,4.6
"Mar 21, 07:00 am",231.939,165,0.6,72.331,3.6
"Mar 21, 08:00 am",497.061,359,1.7,57.6809,3.6
"Mar 21, 09:00 am",733.297,536,2.8,43.1388,5.2
"Mar 21, 10:00 am",915.141,672,3.3,28.9324,6.2
"Mar 21, 11:00 am",1023.12,757,3.9,16.0243,8.2
"Mar 21, 12:00 pm",1051.78,781,4.4,10.9802,8.2
"Mar 21, 01:00 pm",988.322,738,5,20.7007,7.2
"Mar 21, 02:00 pm",853.38,642,5,34.3565,7.7
"Mar 21, 03:00 pm",654.195,494,4.4,48.7372,6.7
"Mar 21, 04:00 pm",403.141,310,3.9,63.3367,6.7
"Mar 21, 05:00 pm",148.256,120,3.3,77.9957,5.2
"Mar 21, 06:00 pm",11.0032,16,2.2,88.0571,4.6
"Mar 21, 07:00 pm",0,0,2.2,0,3.1
"Mar 21, 08:00 pm",0,0,2.2,0,2.6
"Mar 21, 09:00 pm",0,0,2.2,0,3.1
"Mar 21, 10:00 pm",0,0,1.7,0,3.6
"Mar 21, 11:00 pm",0,0,2.8,0,2.6
"Mar 22, 12:00 am",0,0,2.8,0,4.6
"Mar 22, 01:00 am",0,0,3.9,0,3.1
"Mar 22, 02:00 am",0,0,3.9,0,0
"Mar 22, 03:00 am",0,0,3.9,0,3.6
"Mar 22, 04:00 am",0,0,5,0,3.1
"Mar 22, 05:00 am",0,0,7.2,0,4.1
"Mar 22, 06:00 am",14.3321,16,7.8,84.4407,5.2
"Mar 22, 07:00 am",178.367,141,8.3,72.1815,5.2
"Mar 22, 08:00 am",370.395,285,11.1,57.5217,7.7
"Mar 22, 09:00 am",282.315,252,12.2,42.9608,8.2
"Mar 22, 10:00 am",842.343,622,13.9,28.7142,9.3
"Mar 22, 11:00 am",759.779,582,16.1,15.7071,9.3
"Mar 22, 12:00 pm",483.142,425,17.2,10.6204,8.2
"Mar 22, 01:00 pm",268.981,281,16.7,20.5627,6.7
"Mar 22, 02:00 pm",190.087,201,15,34.3004,7.7
"Mar 22, 03:00 pm",213.301,224,13.9,48.7139,6.2
"Mar 22, 04:00 pm",110.841,119,11.1,63.3286,5.2
"Mar 22, 05:00 pm",54.799,60,11.1,77.9951,4.6
"Mar 22, 06:00 pm",7.18077,8,11.1,88.2057,6.7
"Mar 22, 07:00 pm",0,0,11.7,0,11.8
"Mar 22, 08:00 pm",0,0,10,0,9.8
"Mar 22, 09:00 pm",0,0,9.4,0,13.9
"Mar 22, 10:00 pm",0,0,8.3,0,9.3
"Mar 22, 11:00 pm",0,0,8.3,0,11.8
"Mar 23, 12:00 am",0,0,7.2,0,7.7
