Month,kWh
01,410688.8347700294
02,354676.4654637162
03,347192.9690368279
04,311766.24808335287
05,290807.6265638632
06,180683.23441262898
07,115199.29328942973
08,154446.204289769
09,245831.70122865427
10,320656.7056603251
11,343069.0114932482
12,400759.47480283404
