Location,TVA,,,,
Address,"1709 Alcoa Highway, Knoxville TN",,,,
Long. Lat,35.942,-83.952,,,
Opt. tilt,30.75 deg,accurate to 0.25 deg,,,
Opt. azimuth,179.75 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",0,0,5,0,4.6
"Jan 1, 01:00 am",0,0,5,0,4.8
"Jan 1, 02:00 am",0,0,5,0,5.2
"Jan 1, 03:00 am",0,0,5,0,5.5
"Jan 1, 04:00 am",0,0,5,0,4.9
"Jan 1, 05:00 am",0,0,5,0,4.2
"Jan 1, 06:00 am",0,0,5,0,3.6
"Jan 1, 07:00 am",2.78911,3,6,74.1773,2.7
"Jan 1, 08:00 am",49.7172,48,6,66.7359,1.8
"Jan 1, 09:00 am",119.674,118,6,53.9082,0.9
"Jan 1, 10:00 am",191.708,188,7,42.1348,1.5
"Jan 1, 11:00 am",368.858,282,7,32.7113,2
"Jan 1, 12:00 pm",302.932,256,7.8,28.1537,2.6
"Jan 1, 01:00 pm",321.321,273,8.2,30.7231,2.9
"Jan 1, 02:00 pm",421.764,285,8.5,39.0318,3.3
"Jan 1, 03:00 pm",229.552,187,8.9,50.295,3.6
"Jan 1, 04:00 pm",173.386,83,7.4,62.9042,3.3
"Jan 1, 05:00 pm",26.5343,15,5.9,72.4482,2.9
"Jan 1, 06:00 pm",0,0,4.4,0,2.6
"Jan 1, 07:00 pm",0,0,3.9,0,1.7
"Jan 1, 08:00 pm",0,0,3.3,0,0.9
"Jan 1, 09:00 pm",0,0,2.8,0,0
"Jan 1, 10:00 pm",0,0,1.9,0,0
"Jan 1, 11:00 pm",0,0,0.9,0,0
"Jan 2, 12:00 am",0,0,0,0,0
"Jan 2, 01:00 am",0,0,-0.4,0,0.5
"Jan 2, 02:00 am",0,0,-0.7,0,1
"Jan 2, 03:00 am",0,0,-1.1,0,1.5
"Jan 2, 04:00 am",0,0,-0.9,0,1.7
"Jan 2, 05:00 am",0,0,-0.8,0,1.9
"Jan 2, 06:00 am",0,0,-0.6,0,2.1
"Jan 2, 07:00 am",0.929703,1,-0.2,74.2444,1.9
"Jan 2, 08:00 am",44.1473,43,0.2,66.8163,1.7
"Jan 2, 09:00 am",56.2784,59,0.6,53.9711,1.5
"Jan 2, 10:00 am",156.765,157,1.3,42.17,1.9
"Jan 2, 11:00 am",201.49,200,2.1,32.7009,2.2
"Jan 2, 12:00 pm",258.545,251,2.8,28.0795,2.6
"Jan 2, 01:00 pm",331.973,279,3.9,30.6007,2.8
"Jan 2, 02:00 pm",444.1,300,5,38.8952,2.9
"Jan 2, 03:00 pm",344.283,219,6.1,50.1598,3.1
"Jan 2, 04:00 pm",183.403,109,5.7,62.7753,2.9
"Jan 2, 05:00 pm",24.2961,18,5.4,72.4132,2.8
"Jan 2, 06:00 pm",0,0,5,0,2.6
"Jan 2, 07:00 pm",0,0,5,0,2.6
"Jan 2, 08:00 pm",0,0,5,0,2.6
"Jan 2, 09:00 pm",0,0,5,0,2.6
"Jan 2, 10:00 pm",0,0,5.2,0,2.4
"Jan 2, 11:00 pm",0,0,5.4,0,2.3
"Jan 3, 12:00 am",0,0,5.6,0,2.1
"Jan 3, 01:00 am",0,0,5.6,0,2.3
"Jan 3, 02:00 am",0,0,5.6,0,2.4
"Jan 3, 03:00 am",0,0,5.6,0,2.6
"Jan 3, 04:00 am",0,0,6.3,0,3.1
"Jan 3, 05:00 am",0,0,7.1,0,3.6
"Jan 3, 06:00 am",0,0,7.8,0,4.1
"Jan 3, 07:00 am",1.85941,2,8.2,74.3128,5.3
"Jan 3, 08:00 am",43.5936,42,8.5,66.8936,6.5
"Jan 3, 09:00 am",46.9096,49,8.9,54.03,7.7
"Jan 3, 10:00 am",148.775,150,7.4,42.2002,7.2
"Jan 3, 11:00 am",196.859,197,5.9,32.6841,6.7
"Jan 3, 12:00 pm",184.498,189,4.4,27.9981,6.2
"Jan 3, 01:00 pm",254.61,249,4.2,30.4722,6.2
"Jan 3, 02:00 pm",210.843,207,4.1,38.7543,6.2
"Jan 3, 03:00 pm",114.173,117,3.9,50.022,6.2
"Jan 3, 04:00 pm",71.7905,70,3.3,62.6451,5.2
"Jan 3, 05:00 pm",11.7217,13,2.8,72.3801,4.1
"Jan 3, 06:00 pm",0,0,2.2,0,3.1
"Jan 3, 07:00 pm",0,0,1.5,0,4.6
"Jan 3, 08:00 pm",0,0,0.7,0,6.2
"Jan 3, 09:00 pm",0,0,0,0,7.7
"Jan 3, 10:00 pm",0,0,-0.2,0,7.4
"Jan 3, 11:00 pm",0,0,-0.4,0,7
"Jan 4, 12:00 am",0,0,-0.6,0,6.7
"Jan 4, 01:00 am",0,0,-1.3,0,5.8
"Jan 4, 02:00 am",0,0,-2.1,0,5
"Jan 4, 03:00 am",0,0,-2.8,0,4.1
"Jan 4, 04:00 am",0,0,-3.7,0,3.9
"Jan 4, 05:00 am",0,0,-4.7,0,3.8
"Jan 4, 06:00 am",0,0,-5.6,0,3.6
"Jan 4, 07:00 am",5.35921,4,-5.2,74.3824,4.1
"Jan 4, 08:00 am",152.962,69,-4.8,66.9677,4.7
"Jan 4, 09:00 am",464.95,234,-4.4,54.0848,5.2
"Jan 4, 10:00 am",640.393,362,-3.7,42.2251,4.7
"Jan 4, 11:00 am",736.337,444,-2.9,32.6609,4.1
"Jan 4, 12:00 pm",790.658,479,-2.2,27.9096,3.6
"Jan 4, 01:00 pm",802.692,478,-1.7,30.3376,3.3
"Jan 4, 02:00 pm",727.588,415,-1.1,38.6093,2.9
"Jan 4, 03:00 pm",570.25,297,-0.6,49.8818,2.6
"Jan 4, 04:00 pm",315.309,134,-1.7,62.5137,2.6
"Jan 4, 05:00 pm",53.4545,23,-2.8,72.349,2.6
"Jan 4, 06:00 pm",0,0,-3.9,0,2.6
"Jan 4, 07:00 pm",0,0,-4.6,0,2.8
"Jan 4, 08:00 pm",0,0,-5.4,0,2.9
"Jan 4, 09:00 pm",0,0,-6.1,0,3.1
"Jan 4, 10:00 pm",0,0,-6.8,0,3.3
"Jan 4, 11:00 pm",0,0,-7.6,0,3.4
"Jan 5, 12:00 am",0,0,-8.3,0,3.6
"Jan 5, 01:00 am",0,0,-8.5,0,3.9
"Jan 5, 02:00 am",0,0,-8.7,0,4.3
"Jan 5, 03:00 am",0,0,-8.9,0,4.6
"Jan 5, 04:00 am",0,0,-9.1,0,4.3
"Jan 5, 05:00 am",0,0,-9.2,0,3.9
"Jan 5, 06:00 am",0,0,-9.4,0,3.6
"Jan 5, 07:00 am",12.17,8,-8.3,74.4532,3.4
"Jan 5, 08:00 am",107.855,55,-7.2,67.0387,3.3
"Jan 5, 09:00 am",144.173,124,-6.1,54.1355,3.1
"Jan 5, 10:00 am",464.959,310,-5,42.2449,2.9
"Jan 5, 11:00 am",487.743,334,-3.9,32.6314,2.8
"Jan 5, 12:00 pm",440.193,314,-2.8,27.8139,2.6
"Jan 5, 01:00 pm",435.504,323,-2.1,30.1969,2.4
"Jan 5, 02:00 pm",390.438,290,-1.3,38.4603,2.3
"Jan 5, 03:00 pm",191.486,161,-0.6,49.7393,2.1
"Jan 5, 04:00 pm",232.199,115,-1.3,62.3812,2.4
"Jan 5, 05:00 pm",51.7531,23,-2.1,72.3198,2.8
"Jan 5, 06:00 pm",0,0,-2.8,0,3.1
"Jan 5, 07:00 pm",0,0,-3.5,0,2.9
"Jan 5, 08:00 pm",0,0,-4.3,0,2.8
"Jan 5, 09:00 pm",0,0,-5,0,2.6
"Jan 5, 10:00 pm",0,0,-5.6,0,2.4
"Jan 5, 11:00 pm",0,0,-6.1,0,2.3
"Jan 6, 12:00 am",0,0,-6.7,0,2.1
"Jan 6, 01:00 am",0,0,-7.1,0,1.9
"Jan 6, 02:00 am",0,0,-7.4,0,1.7
"Jan 6, 03:00 am",0,0,-7.8,0,1.5
"Jan 6, 04:00 am",0,0,-8,0,1.9
"Jan 6, 05:00 am",0,0,-8.1,0,2.2
"Jan 6, 06:00 am",0,0,-8.3,0,2.6
"Jan 6, 07:00 am",7.99617,6,-7,74.5251,2.6
"Jan 6, 08:00 am",212.393,78,-5.7,67.1064,2.6
"Jan 6, 09:00 am",492.876,244,-4.4,54.182,2.6
"Jan 6, 10:00 am",697.622,393,-2.2,42.2595,2.4
"Jan 6, 11:00 am",846.106,500,0,32.5954,2.3
"Jan 6, 12:00 pm",905.126,545,2.2,27.7112,2.1
"Jan 6, 01:00 pm",877.102,523,3.3,30.0502,2.1
"Jan 6, 02:00 pm",768.202,442,4.5,38.3073,2.1
"Jan 6, 03:00 pm",578.868,306,5.6,49.5946,2.1
"Jan 6, 04:00 pm",326.899,139,4.7,62.2478,1.4
"Jan 6, 05:00 pm",63.3064,27,3.7,72.2926,0.7
"Jan 6, 06:00 pm",0,0,2.8,0,0
"Jan 6, 07:00 pm",0,0,1.3,0,0.5
"Jan 6, 08:00 pm",0,0,-0.2,0,1
"Jan 6, 09:00 pm",0,0,-1.7,0,1.5
"Jan 6, 10:00 pm",0,0,-2.2,0,1.7
"Jan 6, 11:00 pm",0,0,-2.8,0,1.9
"Jan 7, 12:00 am",0,0,-3.3,0,2.1
"Jan 7, 01:00 am",0,0,-3.3,0,2.3
"Jan 7, 02:00 am",0,0,-3.3,0,2.4
"Jan 7, 03:00 am",0,0,-3.3,0,2.6
"Jan 7, 04:00 am",0,0,-2.8,0,2.8
"Jan 7, 05:00 am",0,0,-2.2,0,2.9
"Jan 7, 06:00 am",0,0,-1.7,0,3.1
"Jan 7, 07:00 am",4.51557,4,-1.3,74.5982,3.1
"Jan 7, 08:00 am",74.8772,55,-1,67.1708,3.1
"Jan 7, 09:00 am",215.276,141,-0.6,54.2244,3.1
"Jan 7, 10:00 am",330.11,244,-0.2,42.2689,2.6
"Jan 7, 11:00 am",206.842,180,0.2,32.5531,2
"Jan 7, 12:00 pm",101.554,107,0.6,27.6015,1.5
"Jan 7, 01:00 pm",178.344,181,1.1,29.8975,1.7
"Jan 7, 02:00 pm",172.998,173,1.7,38.1506,1.9
"Jan 7, 03:00 pm",93.5789,97,2.2,49.4478,2.1
"Jan 7, 04:00 pm",81.381,77,2.2,62.1136,2.3
"Jan 7, 05:00 pm",19.6044,20,2.2,72.2675,2.4
"Jan 7, 06:00 pm",0,0,2.2,0,2.6
"Jan 7, 07:00 pm",0,0,2.2,0,2.4
"Jan 7, 08:00 pm",0,0,2.2,0,2.3
"Jan 7, 09:00 pm",0,0,2.2,0,2.1
"Jan 7, 10:00 pm",0,0,2.6,0,3.6
"Jan 7, 11:00 pm",0,0,2.9,0,5.2
"Jan 8, 12:00 am",0,0,3.3,0,6.7
"Jan 8, 01:00 am",0,0,2.8,0,6.5
"Jan 8, 02:00 am",0,0,2.2,0,6.4
"Jan 8, 03:00 am",0,0,1.7,0,6.2
"Jan 8, 04:00 am",0,0,0.6,0,6.5
"Jan 8, 05:00 am",0,0,-0.6,0,6.9
"Jan 8, 06:00 am",0,0,-1.7,0,7.2
"Jan 8, 07:00 am",0.929703,1,-2.4,74.6722,6.7
"Jan 8, 08:00 am",44.4254,43,-3.2,67.2319,6.2
"Jan 8, 09:00 am",112.436,112,-3.9,54.2625,5.7
"Jan 8, 10:00 am",204.632,199,-3.5,42.2731,5.2
"Jan 8, 11:00 am",239.02,235,-3.2,32.5046,4.6
"Jan 8, 12:00 pm",253.122,249,-2.8,27.4848,4.1
"Jan 8, 01:00 pm",242.601,239,-3,29.739,4.3
"Jan 8, 02:00 pm",322.008,264,-3.1,37.9902,4.4
"Jan 8, 03:00 pm",222.309,165,-3.3,49.2991,4.6
"Jan 8, 04:00 pm",70.3143,68,-4.4,61.9787,4.6
"Jan 8, 05:00 pm",18.6565,15,-5.6,72.2445,4.6
"Jan 8, 06:00 pm",0,0,-6.7,0,4.6
"Jan 8, 07:00 pm",0,0,-7.2,0,3.9
"Jan 8, 08:00 pm",0,0,-7.8,0,3.3
"Jan 8, 09:00 pm",0,0,-8.3,0,2.6
"Jan 8, 10:00 pm",0,0,-9.1,0,2.6
"Jan 8, 11:00 pm",0,0,-9.8,0,2.6
"Jan 9, 12:00 am",0,0,-10.6,0,2.6
"Jan 9, 01:00 am",0,0,-11.1,0,3.1
"Jan 9, 02:00 am",0,0,-11.7,0,3.6
"Jan 9, 03:00 am",0,0,-12.2,0,4.1
"Jan 9, 04:00 am",0,0,-12.8,0,4.1
"Jan 9, 05:00 am",0,0,-13.3,0,4.1
"Jan 9, 06:00 am",0,0,-13.9,0,4.1
"Jan 9, 07:00 am",2.24509,2,-12.8,74.7473,3.2
"Jan 9, 08:00 am",92.9334,49,-11.7,67.2895,2.4
"Jan 9, 09:00 am",423.056,228,-10.6,54.2963,1.5
"Jan 9, 10:00 am",580.587,352,-9.1,42.2722,1.7
"Jan 9, 11:00 am",823.607,493,-7.6,32.4497,1.9
"Jan 9, 12:00 pm",704.967,451,-6.1,27.3611,2.1
"Jan 9, 01:00 pm",824.49,499,-5.2,29.5747,2.3
"Jan 9, 02:00 pm",751.602,433,-4.2,37.8262,2.4
"Jan 9, 03:00 pm",597.707,319,-3.3,49.1487,2.6
"Jan 9, 04:00 pm",347.595,150,-4.1,61.8432,1.7
"Jan 9, 05:00 pm",73.4495,29,-4.8,72.2237,0.9
"Jan 9, 06:00 pm",0,0,-5.6,0,0
"Jan 9, 07:00 pm",0,0,-5.8,0,0.5
"Jan 9, 08:00 pm",0,0,-5.9,0,1
"Jan 9, 09:00 pm",0,0,-6.1,0,1.5
"Jan 9, 10:00 pm",0,0,-6.7,0,1.7
"Jan 9, 11:00 pm",0,0,-7.2,0,1.9
"Jan 10, 12:00 am",0,0,-7.8,0,2.1
"Jan 10, 01:00 am",0,0,-8,0,1.4
"Jan 10, 02:00 am",0,0,-8.1,0,0.7
"Jan 10, 03:00 am",0,0,-8.3,0,0
"Jan 10, 04:00 am",0,0,-8.7,0,0.7
"Jan 10, 05:00 am",0,0,-9,0,1.4
"Jan 10, 06:00 am",0,0,-9.4,0,2.1
"Jan 10, 07:00 am",3.02407,2,-8.3,74.8233,1.4
"Jan 10, 08:00 am",166.323,71,-7.2,67.3436,0.7
"Jan 10, 09:00 am",369.74,208,-6.1,54.3259,0
"Jan 10, 10:00 am",402.043,251,-3.9,42.266,0
"Jan 10, 11:00 am",655.387,423,-1.6,32.3886,0
"Jan 10, 12:00 pm",773.588,488,0.6,27.2305,0
"Jan 10, 01:00 pm",748.357,463,1.9,29.4047,0.5
"Jan 10, 02:00 pm",659.169,410,3.1,37.6587,1
"Jan 10, 03:00 pm",414.327,248,4.4,48.9965,1.5
"Jan 10, 04:00 pm",184.554,114,3.7,61.7073,1
"Jan 10, 05:00 pm",23.0558,21,2.9,72.205,0.5
"Jan 10, 06:00 pm",0,0,2.2,0,0
"Jan 10, 07:00 pm",0,0,0.9,0,0
"Jan 10, 08:00 pm",0,0,-0.4,0,0
"Jan 10, 09:00 pm",0,0,-1.7,0,0
"Jan 10, 10:00 pm",0,0,-1.9,0,0.5
"Jan 10, 11:00 pm",0,0,-2,0,1
"Jan 11, 12:00 am",0,0,-2.2,0,1.5
"Jan 11, 01:00 am",0,0,-1.8,0,1.7
"Jan 11, 02:00 am",0,0,-1.5,0,1.9
"Jan 11, 03:00 am",0,0,-1.1,0,2.1
"Jan 11, 04:00 am",0,0,-0.7,0,2.1
"Jan 11, 05:00 am",0,0,-0.4,0,2.1
"Jan 11, 06:00 am",0,0,0,0,2.1
"Jan 11, 07:00 am",0.2605,0,0.2,74.9003,1.4
"Jan 11, 08:00 am",40.3449,39,0.4,67.3943,0.7
"Jan 11, 09:00 am",71.6837,69,0.6,54.3512,0
"Jan 11, 10:00 am",201.702,195,0.8,42.2548,0.7
"Jan 11, 11:00 am",233.56,228,0.9,32.3214,1.4
"Jan 11, 12:00 pm",122.999,130,1.1,27.093,2.1
"Jan 11, 01:00 pm",228.168,226,2,29.2291,3.3
"Jan 11, 02:00 pm",209.274,206,3,37.488,4.5
"Jan 11, 03:00 pm",95.4688,100,3.9,48.8428,5.7
"Jan 11, 04:00 pm",102.853,96,4.1,61.571,5.2
"Jan 11, 05:00 pm",21.4448,22,4.2,72.1886,4.6
"Jan 11, 06:00 pm",0,0,4.4,0,4.1
"Jan 11, 07:00 pm",0,0,4,0,4.1
"Jan 11, 08:00 pm",0,0,3.7,0,4.1
"Jan 11, 09:00 pm",0,0,3.3,0,4.1
"Jan 11, 10:00 pm",0,0,2.8,0,3.6
"Jan 11, 11:00 pm",0,0,2.2,0,3.1
"Jan 12, 12:00 am",0,0,1.7,0,2.6
"Jan 12, 01:00 am",0,0,1.3,0,2.4
"Jan 12, 02:00 am",0,0,1,0,2.3
"Jan 12, 03:00 am",0,0,0.6,0,2.1
"Jan 12, 04:00 am",0,0,0.6,0,1.4
"Jan 12, 05:00 am",0,0,0.6,0,0.7
"Jan 12, 06:00 am",0,0,0.6,0,0
"Jan 12, 07:00 am",3.71881,4,0.6,74.9781,1.5
"Jan 12, 08:00 am",51.5595,49,0.6,67.4413,3.1
"Jan 12, 09:00 am",144.318,138,0.6,54.3722,4.6
"Jan 12, 10:00 am",324.267,247,1.9,42.2383,3.6
"Jan 12, 11:00 am",499.731,343,3.1,32.2479,2.5
"Jan 12, 12:00 pm",713.554,458,4.4,26.9488,1.5
"Jan 12, 01:00 pm",572.934,399,5.2,29.0479,1
"Jan 12, 02:00 pm",687.813,421,5.9,37.314,0.5
"Jan 12, 03:00 pm",313.516,214,6.7,48.6878,0
"Jan 12, 04:00 pm",115.357,91,5.2,61.4345,1.4
"Jan 12, 05:00 pm",63.7161,30,3.7,72.1744,2.7
"Jan 12, 06:00 pm",0,0,2.2,0,4.1
"Jan 12, 07:00 pm",0,0,1.1,0,3.8
"Jan 12, 08:00 pm",0,0,0,0,3.4
"Jan 12, 09:00 pm",0,0,-1.1,0,3.1
"Jan 12, 10:00 pm",0,0,-0.5,0,2.9
"Jan 12, 11:00 pm",0,0,0,0,2.8
"Jan 13, 12:00 am",0,0,0.6,0,2.6
"Jan 13, 01:00 am",0,0,0.6,0,2.6
"Jan 13, 02:00 am",0,0,0.6,0,2.6
"Jan 13, 03:00 am",0,0,0.6,0,2.6
"Jan 13, 04:00 am",0,0,0.8,0,1.7
"Jan 13, 05:00 am",0,0,0.9,0,0.9
"Jan 13, 06:00 am",0,0,1.1,0,0
"Jan 13, 07:00 am",0,0,1.3,75.0567,0.7
"Jan 13, 08:00 am",24.616,26,1.5,67.4848,1.4
"Jan 13, 09:00 am",67.7741,65,1.7,54.3889,2.1
"Jan 13, 10:00 am",179.751,178,3.2,42.2168,1.4
"Jan 13, 11:00 am",198.858,200,4.6,32.1684,0.7
"Jan 13, 12:00 pm",263.903,259,6.1,26.7978,0
"Jan 13, 01:00 pm",244.95,242,9.3,28.8614,3.8
"Jan 13, 02:00 pm",210.98,208,12.4,37.137,7.5
"Jan 13, 03:00 pm",162.124,160,15.6,48.5314,11.3
"Jan 13, 04:00 pm",81.223,80,15.2,61.298,11.3
"Jan 13, 05:00 pm",21.1942,22,14.8,72.1625,11.3
"Jan 13, 06:00 pm",0,0,14.4,0,11.3
"Jan 13, 07:00 pm",0,0,13.3,0,9.9
"Jan 13, 08:00 pm",0,0,12.2,0,8.6
"Jan 13, 09:00 pm",0,0,11.1,0,7.2
"Jan 13, 10:00 pm",0,0,8.9,0,6.5
"Jan 13, 11:00 pm",0,0,6.6,0,5.9
"Jan 14, 12:00 am",0,0,4.4,0,5.2
"Jan 14, 01:00 am",0,0,4.2,0,5.2
"Jan 14, 02:00 am",0,0,4.1,0,5.2
"Jan 14, 03:00 am",0,0,3.9,0,5.2
"Jan 14, 04:00 am",0,0,3.2,0,4.3
"Jan 14, 05:00 am",0,0,2.4,0,3.5
"Jan 14, 06:00 am",0,0,1.7,0,2.6
"Jan 14, 07:00 am",6.38047,5,2.2,75.136,3.1
"Jan 14, 08:00 am",156.956,74,2.8,67.5246,3.6
"Jan 14, 09:00 am",461.26,239,3.3,54.4013,4.1
"Jan 14, 10:00 am",649.701,373,4.2,42.1901,4.1
"Jan 14, 11:00 am",840.439,507,5.2,32.0828,4.1
"Jan 14, 12:00 pm",909.749,558,6.1,26.6401,4.1
"Jan 14, 01:00 pm",889.182,542,6.7,28.6694,3.2
"Jan 14, 02:00 pm",776.099,459,7.2,36.9571,2.4
"Jan 14, 03:00 pm",599.379,327,7.8,48.374,1.5
"Jan 14, 04:00 pm",349.252,160,6.5,61.1615,1.7
"Jan 14, 05:00 pm",79.5551,33,5.2,72.1529,1.9
"Jan 14, 06:00 pm",0,0,3.9,0,2.1
"Jan 14, 07:00 pm",0,0,3,0,1.9
"Jan 14, 08:00 pm",0,0,2,0,1.7
"Jan 14, 09:00 pm",0,0,1.1,0,1.5
"Jan 14, 10:00 pm",0,0,0.4,0,1.7
"Jan 14, 11:00 pm",0,0,-0.4,0,1.9
"Jan 15, 12:00 am",0,0,-1.1,0,2.1
"Jan 15, 01:00 am",0,0,-1.7,0,1.4
"Jan 15, 02:00 am",0,0,-2.2,0,0.7
"Jan 15, 03:00 am",0,0,-2.8,0,0
"Jan 15, 04:00 am",0,0,-3.7,0,0.9
"Jan 15, 05:00 am",0,0,-4.7,0,1.7
"Jan 15, 06:00 am",0,0,-5.6,0,2.6
"Jan 15, 07:00 am",9.16849,7,-4.7,75.216,1.7
"Jan 15, 08:00 am",217.726,84,-3.7,67.5608,0.9
"Jan 15, 09:00 am",495.174,254,-2.8,54.4093,0
"Jan 15, 10:00 am",704.446,407,-0.4,42.1584,0.7
"Jan 15, 11:00 am",750.925,453,2,31.9913,1.4
"Jan 15, 12:00 pm",858.269,528,4.4,26.4757,2.1
"Jan 15, 01:00 pm",629.302,411,5.3,28.4722,2.6
"Jan 15, 02:00 pm",530.196,336,6.3,36.7744,3.1
"Jan 15, 03:00 pm",256.411,176,7.2,48.2156,3.6
"Jan 15, 04:00 pm",193.733,117,6.3,61.0252,3.1
"Jan 15, 05:00 pm",38.3123,30,5.3,72.1457,2.6
"Jan 15, 06:00 pm",0,0,4.4,0,2.1
"Jan 15, 07:00 pm",0,0,3.5,0,2.9
"Jan 15, 08:00 pm",0,0,2.6,0,3.8
"Jan 15, 09:00 pm",0,0,1.7,0,4.6
"Jan 15, 10:00 pm",0,0,2.8,0,5
"Jan 15, 11:00 pm",0,0,3.9,0,5.3
"Jan 16, 12:00 am",0,0,5,0,5.7
"Jan 16, 01:00 am",0,0,4.3,0,6.5
"Jan 16, 02:00 am",0,0,3.5,0,7.4
"Jan 16, 03:00 am",0,0,2.8,0,8.2
"Jan 16, 04:00 am",0,0,2.6,0,6.7
"Jan 16, 05:00 am",0,0,2.4,0,5.1
"Jan 16, 06:00 am",0,0,2.2,0,3.6
"Jan 16, 07:00 am",2.11322,2,2.9,75.2967,3.4
"Jan 16, 08:00 am",37.8898,33,3.7,67.5933,3.3
"Jan 16, 09:00 am",88.5168,91,4.4,54.413,3.1
"Jan 16, 10:00 am",184.821,182,5.2,42.1216,3.8
"Jan 16, 11:00 am",208.676,209,5.9,31.8937,4.5
"Jan 16, 12:00 pm",227.999,228,6.7,26.3048,5.2
"Jan 16, 01:00 pm",262.589,259,5.8,28.2699,5.4
"Jan 16, 02:00 pm",226.272,223,4.8,36.5891,5.5
"Jan 16, 03:00 pm",180.385,175,3.9,48.0563,5.7
"Jan 16, 04:00 pm",101.06,97,3.7,60.8892,4.8
"Jan 16, 05:00 pm",20.8305,22,3.5,72.1409,4
"Jan 16, 06:00 pm",0,0,3.3,0,3.1
"Jan 16, 07:00 pm",0,0,2.9,0,4.1
"Jan 16, 08:00 pm",0,0,2.6,0,5.2
"Jan 16, 09:00 pm",0,0,2.2,0,6.2
"Jan 16, 10:00 pm",0,0,1.8,0,5.5
"Jan 16, 11:00 pm",0,0,1.5,0,4.8
"Jan 17, 12:00 am",0,0,1.1,0,4.1
"Jan 17, 01:00 am",0,0,0.4,0,5
"Jan 17, 02:00 am",0,0,-0.4,0,5.8
"Jan 17, 03:00 am",0,0,-1.1,0,6.7
"Jan 17, 04:00 am",0,0,-1.8,0,6.2
"Jan 17, 05:00 am",0,0,-2.6,0,5.7
"Jan 17, 06:00 am",0,0,-3.3,0,5.2
"Jan 17, 07:00 am",4.64852,5,-3.7,75.378,5.9
"Jan 17, 08:00 am",69.8584,62,-4,67.622,6.5
"Jan 17, 09:00 am",154.323,148,-4.4,54.4124,7.2
"Jan 17, 10:00 am",354.254,272,-3.9,42.0799,6.5
"Jan 17, 11:00 am",348.856,269,-3.3,31.7903,5.9
"Jan 17, 12:00 pm",598.072,423,-2.8,26.1273,5.2
"Jan 17, 01:00 pm",633.897,430,-3.2,28.0625,5.9
"Jan 17, 02:00 pm",317.569,270,-3.5,36.4013,6.5
"Jan 17, 03:00 pm",365.959,263,-3.9,47.8964,7.2
"Jan 17, 04:00 pm",186.732,130,-4.8,60.7536,6.2
"Jan 17, 05:00 pm",31.0047,26,-5.8,72.1386,5.1
"Jan 17, 06:00 pm",0,0,-6.7,0,4.1
"Jan 17, 07:00 pm",0,0,-7.2,0,3.4
"Jan 17, 08:00 pm",0,0,-7.8,0,2.8
"Jan 17, 09:00 pm",0,0,-8.3,0,2.1
"Jan 17, 10:00 pm",0,0,-8.7,0,2.4
"Jan 17, 11:00 pm",0,0,-9,0,2.8
"Jan 18, 12:00 am",0,0,-9.4,0,3.1
"Jan 18, 01:00 am",0,0,-9.8,0,3.1
"Jan 18, 02:00 am",0,0,-10.2,0,3.1
"Jan 18, 03:00 am",0,0,-10.6,0,3.1
"Jan 18, 04:00 am",0,0,-11,0,3.1
"Jan 18, 05:00 am",0,0,-11.3,0,3.1
"Jan 18, 06:00 am",0,0,-11.7,0,3.1
"Jan 18, 07:00 am",13.2591,8,-10.9,75.4598,2.9
"Jan 18, 08:00 am",234.499,90,-10.2,67.647,2.8
"Jan 18, 09:00 am",508.486,266,-9.4,54.4075,2.6
"Jan 18, 10:00 am",729.414,424,-8.1,42.0332,2.8
"Jan 18, 11:00 am",881.944,537,-6.9,31.6811,2.9
"Jan 18, 12:00 pm",950.266,587,-5.6,25.9434,3.1
"Jan 18, 01:00 pm",934.589,575,-4.5,27.8502,3.4
"Jan 18, 02:00 pm",822.139,491,-3.3,36.2111,3.8
"Jan 18, 03:00 pm",636.143,354,-2.2,47.7359,4.1
"Jan 18, 04:00 pm",385.051,181,-3.5,60.6186,3.8
"Jan 18, 05:00 pm",103.506,40,-4.8,72.1388,3.4
"Jan 18, 06:00 pm",0,0,-6.1,0,3.1
"Jan 18, 07:00 pm",0,0,-6.7,0,3.1
"Jan 18, 08:00 pm",0,0,-7.2,0,3.1
"Jan 18, 09:00 pm",0,0,-7.8,0,3.1
"Jan 18, 10:00 pm",0,0,-8.3,0,3.3
"Jan 18, 11:00 pm",0,0,-8.9,0,3.4
"Jan 19, 12:00 am",0,0,-9.4,0,3.6
"Jan 19, 01:00 am",0,0,-9.8,0,3.1
"Jan 19, 02:00 am",0,0,-10.2,0,2.6
"Jan 19, 03:00 am",0,0,-10.6,0,2.1
"Jan 19, 04:00 am",0,0,-11.1,0,1.4
"Jan 19, 05:00 am",0,0,-11.7,0,0.7
"Jan 19, 06:00 am",0,0,-12.2,0,0
"Jan 19, 07:00 am",9.4612,7,-10.5,75.5421,0.7
"Jan 19, 08:00 am",217.881,87,-8.9,67.6682,1.4
"Jan 19, 09:00 am",495.81,261,-7.2,54.3983,2.1
"Jan 19, 10:00 am",715.078,420,-4.8,41.9816,2.1
"Jan 19, 11:00 am",865.537,531,-2.4,31.5662,2.1
"Jan 19, 12:00 pm",930.498,580,0,25.7531,2.1
