Location,UMMC,,,,
Address,Jackson MS Int Airport,,,,
Opt. tilt,29.25 deg,accurate to 0.25 deg,,,
Opt. azimuth,180.75 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",0,0,-2.2,0,0
"Jan 1, 01:00 am",0,0,-2.8,0,0
"Jan 1, 02:00 am",0,0,-2.8,0,0
"Jan 1, 03:00 am",0,0,-3.3,0,0
"Jan 1, 04:00 am",0,0,-3.9,0,1.5
"Jan 1, 05:00 am",0,0,-1.7,0,1.5
"Jan 1, 06:00 am",0,0,-1.1,0,1.5
"Jan 1, 07:00 am",86.2968,46,-1.1,71.0229,1.5
"Jan 1, 08:00 am",428.155,216,1.1,58.4995,2.1
"Jan 1, 09:00 am",679.304,397,5,45.9246,2.6
"Jan 1, 10:00 am",853.863,529,7.2,34.8991,3.6
"Jan 1, 11:00 am",940.63,596,8.9,27.4334,4.1
"Jan 1, 12:00 pm",958.744,608,9.4,26.7296,5.2
"Jan 1, 01:00 pm",876.435,542,10.6,33.2222,4.6
"Jan 1, 02:00 pm",694.851,404,10.6,43.8081,5.2
"Jan 1, 03:00 pm",165.752,138,10,56.1923,5.7
"Jan 1, 04:00 pm",38.9026,34,8.9,69.3343,3.6
"Jan 1, 05:00 pm",0.936248,1,8.3,75.9386,7.2
"Jan 1, 06:00 pm",0,0,6.7,0,4.1
"Jan 1, 07:00 pm",0,0,5.6,0,2.6
"Jan 1, 08:00 pm",0,0,2.2,0,0
"Jan 1, 09:00 pm",0,0,0.6,0,1.5
"Jan 1, 10:00 pm",0,0,-0.6,0,0
"Jan 1, 11:00 pm",0,0,-1.1,0,0
"Jan 2, 12:00 am",0,0,-1.7,0,0
"Jan 2, 01:00 am",0,0,-2.2,0,0
"Jan 2, 02:00 am",0,0,-2.2,0,2.1
"Jan 2, 03:00 am",0,0,-1.1,0,1.5
"Jan 2, 04:00 am",0,0,-2.2,0,0
"Jan 2, 05:00 am",0,0,-2.8,0,0
"Jan 2, 06:00 am",0,0,-4.4,0,0
"Jan 2, 07:00 am",164.512,58,-2.2,71.0884,0
"Jan 2, 08:00 am",442.533,225,1.1,58.5739,0
"Jan 2, 09:00 am",671.273,394,4.4,45.977,3.1
"Jan 2, 10:00 am",847.477,527,7.2,34.9147,3.6
"Jan 2, 11:00 am",939.29,598,7.8,27.3885,3.6
"Jan 2, 12:00 pm",950.626,605,8.9,26.6201,1.5
"Jan 2, 01:00 pm",871.622,541,10,33.086,1.5
"Jan 2, 02:00 pm",717.902,419,10,43.6707,2.6
"Jan 2, 03:00 pm",491.374,251,9.4,56.0609,0
"Jan 2, 04:00 pm",209.196,71,7.2,69.2123,2.1
"Jan 2, 05:00 pm",2.39655,6,3.3,75.9136,0
"Jan 2, 06:00 pm",0,0,1.7,0,1.5
"Jan 2, 07:00 pm",0,0,0,0,0
"Jan 2, 08:00 pm",0,0,-0.6,0,0
"Jan 2, 09:00 pm",0,0,-1.1,0,2.1
"Jan 2, 10:00 pm",0,0,-1.1,0,3.1
"Jan 2, 11:00 pm",0,0,-0.6,0,2.6
"Jan 3, 12:00 am",0,0,0,0,0
"Jan 3, 01:00 am",0,0,0.6,0,1.5
"Jan 3, 02:00 am",0,0,2.2,0,4.1
"Jan 3, 03:00 am",0,0,4.4,0,4.6
"Jan 3, 04:00 am",0,0,5,0,4.1
"Jan 3, 05:00 am",0,0,5,0,5.2
"Jan 3, 06:00 am",0,0,5,0,6.7
"Jan 3, 07:00 am",19.48,20,6.1,71.1545,6.7
"Jan 3, 08:00 am",78.8786,80,6.1,58.6448,7.7
"Jan 3, 09:00 am",144.462,146,7.8,46.0249,6.7
"Jan 3, 10:00 am",234.815,232,8.3,34.9246,6.7
"Jan 3, 11:00 am",295.473,287,8.9,27.3367,5.7
"Jan 3, 12:00 pm",230.823,231,10,26.5039,5.2
"Jan 3, 01:00 pm",136.417,142,10,32.9449,4.1
"Jan 3, 02:00 pm",104.454,111,8.9,43.5304,3.6
"Jan 3, 03:00 pm",68.4119,73,5.6,55.9281,1.5
"Jan 3, 04:00 pm",22.1849,24,5.6,69.0898,5.7
"Jan 3, 05:00 pm",0.936248,1,5.6,75.8906,10.3
"Jan 3, 06:00 pm",0,0,5,0,11.3
"Jan 3, 07:00 pm",0,0,5,0,7.2
"Jan 3, 08:00 pm",0,0,5.6,0,5.7
"Jan 3, 09:00 pm",0,0,5.6,0,3.1
"Jan 3, 10:00 pm",0,0,5.6,0,2.1
"Jan 3, 11:00 pm",0,0,5.6,0,3.6
"Jan 4, 12:00 am",0,0,5.6,0,4.1
"Jan 4, 01:00 am",0,0,5.6,0,4.1
"Jan 4, 02:00 am",0,0,5,0,4.1
"Jan 4, 03:00 am",0,0,5,0,4.6
"Jan 4, 04:00 am",0,0,4.4,0,6.2
"Jan 4, 05:00 am",0,0,4.4,0,7.2
"Jan 4, 06:00 am",0,0,3.9,0,5.2
"Jan 4, 07:00 am",49.5143,43,3.9,71.2212,5.2
"Jan 4, 08:00 am",127.701,122,4.4,58.7124,5.2
"Jan 4, 09:00 am",210.605,204,5,46.0684,4.6
"Jan 4, 10:00 am",284.792,277,5.6,34.9289,5.7
"Jan 4, 11:00 am",304.838,297,6.7,27.278,6.2
"Jan 4, 12:00 pm",328.299,318,7.2,26.3809,6.2
"Jan 4, 01:00 pm",511.244,368,8.9,32.799,7.2
"Jan 4, 02:00 pm",587.039,355,9.4,43.3873,8.2
"Jan 4, 03:00 pm",463.405,241,9.4,55.7939,6.2
"Jan 4, 04:00 pm",212.987,72,7.8,68.967,5.2
"Jan 4, 05:00 pm",6.06303,7,6.7,75.8694,5.2
"Jan 4, 06:00 pm",0,0,5.6,0,4.6
"Jan 4, 07:00 pm",0,0,4.4,0,5.2
"Jan 4, 08:00 pm",0,0,3.9,0,5.2
"Jan 4, 09:00 pm",0,0,3.3,0,3.1
"Jan 4, 10:00 pm",0,0,2.8,0,4.1
"Jan 4, 11:00 pm",0,0,2.2,0,4.1
"Jan 5, 12:00 am",0,0,1.7,0,3.1
"Jan 5, 01:00 am",0,0,1.1,0,3.1
"Jan 5, 02:00 am",0,0,1.1,0,2.1
"Jan 5, 03:00 am",0,0,0.6,0,2.6
"Jan 5, 04:00 am",0,0,0,0,2.1
"Jan 5, 05:00 am",0,0,-1.1,0,2.1
"Jan 5, 06:00 am",0,0,-1.1,0,2.1
"Jan 5, 07:00 am",131.125,49,-0.6,71.2885,1.5
"Jan 5, 08:00 am",426.004,218,1.1,58.7764,2.1
"Jan 5, 09:00 am",510.643,303,4.4,46.1075,3.6
"Jan 5, 10:00 am",832.581,520,7.2,34.9276,2.6
"Jan 5, 11:00 am",919.285,589,10,27.2125,2.6
"Jan 5, 12:00 pm",945.773,604,12.2,26.2512,3.1
"Jan 5, 01:00 pm",863.632,540,12.2,32.6485,4.1
"Jan 5, 02:00 pm",716.813,423,12.8,43.2415,3.6
"Jan 5, 03:00 pm",489.072,254,13.3,55.6584,4.1
"Jan 5, 04:00 pm",212.692,75,11.1,68.844,0
"Jan 5, 05:00 pm",5.58093,5,5.6,75.8502,0
"Jan 5, 06:00 pm",0,0,2.8,0,1.5
"Jan 5, 07:00 pm",0,0,2.2,0,1.5
"Jan 5, 08:00 pm",0,0,1.1,0,0
"Jan 5, 09:00 pm",0,0,0.6,0,1.5
"Jan 5, 10:00 pm",0,0,0,0,0
"Jan 5, 11:00 pm",0,0,-0.6,0,4.1
"Jan 6, 12:00 am",0,0,0.6,0,2.1
"Jan 6, 01:00 am",0,0,0.6,0,2.6
"Jan 6, 02:00 am",0,0,1.7,0,3.1
"Jan 6, 03:00 am",0,0,0,0,0
"Jan 6, 04:00 am",0,0,-1.1,0,2.1
"Jan 6, 05:00 am",0,0,-1.7,0,3.1
"Jan 6, 06:00 am",0,0,-1.7,0,0
"Jan 6, 07:00 am",127.149,49,0,71.3563,0
"Jan 6, 08:00 am",326.338,186,6.1,58.8369,2.1
"Jan 6, 09:00 am",520.236,323,10.6,46.1421,2.6
"Jan 6, 10:00 am",506.748,341,12.2,34.9206,4.6
"Jan 6, 11:00 am",732.729,487,14.4,27.1402,5.2
"Jan 6, 12:00 pm",626.756,428,15,26.1149,5.2
"Jan 6, 01:00 pm",668.077,436,16.1,32.4934,2.1
"Jan 6, 02:00 pm",553.008,349,16.7,43.0932,4.1
"Jan 6, 03:00 pm",160.784,123,16.1,55.5218,4.6
"Jan 6, 04:00 pm",76.6201,56,13.3,68.7208,1.5
"Jan 6, 05:00 pm",5.25622,6,10.6,75.8331,2.1
"Jan 6, 06:00 pm",0,0,7.2,0,4.1
"Jan 6, 07:00 pm",0,0,7.2,0,2.1
"Jan 6, 08:00 pm",0,0,6.1,0,0
"Jan 6, 09:00 pm",0,0,5,0,1.5
"Jan 6, 10:00 pm",0,0,4.4,0,2.6
"Jan 6, 11:00 pm",0,0,5,0,4.1
"Jan 7, 12:00 am",0,0,5,0,3.1
"Jan 7, 01:00 am",0,0,5,0,2.6
"Jan 7, 02:00 am",0,0,5.6,0,1.5
"Jan 7, 03:00 am",0,0,6.7,0,0
"Jan 7, 04:00 am",0,0,7.2,0,3.1
"Jan 7, 05:00 am",0,0,6.7,0,2.1
"Jan 7, 06:00 am",0,0,6.1,0,2.1
"Jan 7, 07:00 am",20.6967,22,7.2,71.4246,0
"Jan 7, 08:00 am",128.785,123,10,58.8938,1.5
"Jan 7, 09:00 am",438.46,285,13.3,46.1721,1.5
"Jan 7, 10:00 am",303.984,267,15.6,34.9079,1.5
"Jan 7, 11:00 am",503.998,370,16.7,27.0611,1.5
"Jan 7, 12:00 pm",409.89,353,17.8,25.972,3.6
"Jan 7, 01:00 pm",485.037,359,18.9,32.3337,4.1
"Jan 7, 02:00 pm",196.15,176,17.8,42.9425,3.6
"Jan 7, 03:00 pm",287.753,189,17.8,55.3842,4.1
"Jan 7, 04:00 pm",117.537,56,15,68.5976,4.6
"Jan 7, 05:00 pm",3.54376,3,12.8,75.8179,4.6
"Jan 7, 06:00 pm",0,0,11.7,0,5.2
"Jan 7, 07:00 pm",0,0,10,0,4.6
"Jan 7, 08:00 pm",0,0,8.3,0,4.1
"Jan 7, 09:00 pm",0,0,7.8,0,3.6
"Jan 7, 10:00 pm",0,0,6.7,0,2.6
"Jan 7, 11:00 pm",0,0,5.6,0,3.1
"Jan 8, 12:00 am",0,0,5,0,3.1
"Jan 8, 01:00 am",0,0,4.4,0,2.6
"Jan 8, 02:00 am",0,0,3.9,0,4.1
"Jan 8, 03:00 am",0,0,3.9,0,3.6
"Jan 8, 04:00 am",0,0,3.3,0,3.1
"Jan 8, 05:00 am",0,0,2.8,0,3.6
"Jan 8, 06:00 am",0,0,2.2,0,3.6
"Jan 8, 07:00 am",122.765,49,2.8,71.4934,3.6
"Jan 8, 08:00 am",177.234,141,4.4,58.947,3.6
"Jan 8, 09:00 am",330.472,253,6.1,46.1976,3.6
"Jan 8, 10:00 am",761.262,483,8.3,34.8897,3.6
"Jan 8, 11:00 am",851.764,548,8.9,26.9753,5.7
"Jan 8, 12:00 pm",718.802,485,10,25.8225,4.1
"Jan 8, 01:00 pm",698.345,468,11.1,32.1698,2.6
"Jan 8, 02:00 pm",514.535,340,11.7,42.7894,3.6
"Jan 8, 03:00 pm",276.61,179,12.2,55.2458,3.6
"Jan 8, 04:00 pm",111.824,65,11.1,68.4745,2.6
"Jan 8, 05:00 pm",4.52533,5,7.2,75.8048,1.5
"Jan 8, 06:00 pm",0,0,5.6,0,1.5
"Jan 8, 07:00 pm",0,0,4.4,0,0
"Jan 8, 08:00 pm",0,0,3.3,0,0
"Jan 8, 09:00 pm",0,0,2.8,0,2.1
"Jan 8, 10:00 pm",0,0,2.8,0,0
"Jan 8, 11:00 pm",0,0,3.3,0,2.6
"Jan 9, 12:00 am",0,0,5,0,4.1
"Jan 9, 01:00 am",0,0,3.9,0,2.6
"Jan 9, 02:00 am",0,0,5.6,0,3.6
"Jan 9, 03:00 am",0,0,4.4,0,4.1
"Jan 9, 04:00 am",0,0,5,0,4.1
"Jan 9, 05:00 am",0,0,5.6,0,4.6
"Jan 9, 06:00 am",0,0,6.7,0,5.2
"Jan 9, 07:00 am",27.6769,24,7.2,71.5626,7.7
"Jan 9, 08:00 am",102.402,89,8.9,58.9965,7.7
"Jan 9, 09:00 am",118.023,123,10,46.2186,5.7
"Jan 9, 10:00 am",309.805,270,13.3,34.8659,7.7
"Jan 9, 11:00 am",236.661,197,15.6,26.8828,5.7
"Jan 9, 12:00 pm",204.322,209,17.8,25.6666,7.7
"Jan 9, 01:00 pm",186.149,190,18.9,32.0015,7.7
"Jan 9, 02:00 pm",91.6261,99,12.2,42.6342,5.2
"Jan 9, 03:00 pm",65.1516,68,11.7,55.1066,2.6
"Jan 9, 04:00 pm",21.2733,23,11.1,68.3517,2.6
"Jan 9, 05:00 pm",1.8725,2,10.6,75.7937,2.6
"Jan 9, 06:00 pm",0,0,10.6,0,3.6
"Jan 9, 07:00 pm",0,0,10.6,0,4.1
"Jan 9, 08:00 pm",0,0,9.4,0,6.2
"Jan 9, 09:00 pm",0,0,7.8,0,4.1
"Jan 9, 10:00 pm",0,0,6.7,0,3.6
"Jan 9, 11:00 pm",0,0,6.7,0,3.6
"Jan 10, 12:00 am",0,0,6.7,0,4.1
"Jan 10, 01:00 am",0,0,5.6,0,2.6
"Jan 10, 02:00 am",0,0,5.6,0,2.6
"Jan 10, 03:00 am",0,0,5.6,0,3.1
"Jan 10, 04:00 am",0,0,5,0,2.6
"Jan 10, 05:00 am",0,0,4.4,0,2.1
"Jan 10, 06:00 am",0,0,3.9,0,2.6
"Jan 10, 07:00 am",27.112,28,3.9,71.6321,2.1
"Jan 10, 08:00 am",165.534,139,4.4,59.0424,2.6
"Jan 10, 09:00 am",175.224,159,5.6,46.2351,3.6
"Jan 10, 10:00 am",266.27,233,6.1,34.8366,4.6
"Jan 10, 11:00 am",311.466,274,6.7,26.7837,5.7
"Jan 10, 12:00 pm",768.493,523,6.7,25.5042,5.2
"Jan 10, 01:00 pm",733.504,474,8.3,31.8291,6.2
"Jan 10, 02:00 pm",551.086,352,8.3,42.477,6.7
"Jan 10, 03:00 pm",371.763,217,8.3,54.9669,6.7
"Jan 10, 04:00 pm",102.251,59,7.2,68.2291,7.2
"Jan 10, 05:00 pm",2.40963,1,6.1,75.7848,5.7
"Jan 10, 06:00 pm",0,0,5,0,3.1
"Jan 10, 07:00 pm",0,0,3.9,0,6.7
"Jan 10, 08:00 pm",0,0,3.3,0,7.7
"Jan 10, 09:00 pm",0,0,2.8,0,6.2
"Jan 10, 10:00 pm",0,0,1.1,0,4.1
"Jan 10, 11:00 pm",0,0,0.6,0,3.1
"Jan 11, 12:00 am",0,0,0,0,3.1
"Jan 11, 01:00 am",0,0,0,0,2.6
"Jan 11, 02:00 am",0,0,0,0,4.1
"Jan 11, 03:00 am",0,0,-0.6,0,3.6
"Jan 11, 04:00 am",0,0,0.6,0,3.1
"Jan 11, 05:00 am",0,0,0.6,0,4.1
"Jan 11, 06:00 am",0,0,0.6,0,5.2
"Jan 11, 07:00 am",157.087,57,0.6,71.702,6.7
"Jan 11, 08:00 am",441.911,229,1.7,59.0844,6.7
"Jan 11, 09:00 am",625.367,379,2.8,46.247,6.7
"Jan 11, 10:00 am",848.862,536,4.4,34.8017,6.7
"Jan 11, 11:00 am",961.577,620,4.4,26.6779,5.2
"Jan 11, 12:00 pm",967.213,625,5.6,25.3355,5.2
"Jan 11, 01:00 pm",903.205,571,6.7,31.6527,5.2
"Jan 11, 02:00 pm",748.499,449,7.2,42.3178,5.7
"Jan 11, 03:00 pm",522.695,278,7.2,54.8266,4.6
"Jan 11, 04:00 pm",245.507,92,5.6,68.1071,2.6
"Jan 11, 05:00 pm",14.6013,11,3.9,75.7781,1.5
"Jan 11, 06:00 pm",0,0,0,0,0
"Jan 11, 07:00 pm",0,0,-1.1,0,0
"Jan 11, 08:00 pm",0,0,-1.7,0,0
"Jan 11, 09:00 pm",0,0,-2.8,0,0
"Jan 11, 10:00 pm",0,0,-2.2,0,0
"Jan 11, 11:00 pm",0,0,-2.8,0,2.1
"Jan 12, 12:00 am",0,0,-2.8,0,2.6
"Jan 12, 01:00 am",0,0,-2.8,0,2.1
"Jan 12, 02:00 am",0,0,-2.8,0,1.5
"Jan 12, 03:00 am",0,0,-3.3,0,2.6
"Jan 12, 04:00 am",0,0,-2.8,0,3.1
"Jan 12, 05:00 am",0,0,-2.8,0,3.1
"Jan 12, 06:00 am",0,0,-3.9,0,2.1
"Jan 12, 07:00 am",152.623,57,-2.2,71.7722,0
"Jan 12, 08:00 am",436.316,229,2.2,59.1227,2.1
"Jan 12, 09:00 am",674.074,405,6.7,46.2544,4.1
"Jan 12, 10:00 am",855.331,543,9.4,34.7613,4.6
"Jan 12, 11:00 am",954.564,619,11.1,26.5657,5.7
"Jan 12, 12:00 pm",965.324,626,12.8,25.1604,5.2
"Jan 12, 01:00 pm",892.671,567,13.9,31.4723,5.7
"Jan 12, 02:00 pm",732.571,443,14.4,42.157,4.6
"Jan 12, 03:00 pm",503.97,272,13.9,54.6861,5.2
"Jan 12, 04:00 pm",194.147,80,12.8,67.9856,3.6
"Jan 12, 05:00 pm",10.3336,9,9.4,75.7735,2.1
"Jan 12, 06:00 pm",0,0,4.4,0,0
"Jan 12, 07:00 pm",0,0,2.2,0,0
"Jan 12, 08:00 pm",0,0,2.2,0,2.6
"Jan 12, 09:00 pm",0,0,2.8,0,2.6
"Jan 12, 10:00 pm",0,0,2.8,0,3.6
"Jan 12, 11:00 pm",0,0,2.8,0,2.6
"Jan 13, 12:00 am",0,0,2.8,0,3.6
"Jan 13, 01:00 am",0,0,2.8,0,2.1
"Jan 13, 02:00 am",0,0,1.7,0,1.5
"Jan 13, 03:00 am",0,0,1.1,0,2.6
"Jan 13, 04:00 am",0,0,1.1,0,2.1
"Jan 13, 05:00 am",0,0,1.1,0,2.1
"Jan 13, 06:00 am",0,0,1.7,0,3.1
"Jan 13, 07:00 am",30.7949,29,2.2,71.8427,0
"Jan 13, 08:00 am",162.621,134,4.4,59.1573,3.1
"Jan 13, 09:00 am",214.115,188,9.4,46.2573,3.6
"Jan 13, 10:00 am",300.636,266,12.2,34.7156,0
"Jan 13, 11:00 am",316.736,281,13.3,26.4469,1.5
"Jan 13, 12:00 pm",195.003,199,13.3,24.9792,2.1
"Jan 13, 01:00 pm",251.182,249,13.9,31.2882,0
"Jan 13, 02:00 pm",138.711,143,13.3,41.9945,1.5
"Jan 13, 03:00 pm",121.885,121,11.7,54.5453,1.5
"Jan 13, 04:00 pm",34.663,37,11.1,67.8648,3.6
"Jan 13, 05:00 pm",1.8725,2,10.6,75.7712,2.6
"Jan 13, 06:00 pm",0,0,8.9,0,2.1
"Jan 13, 07:00 pm",0,0,8.3,0,1.5
"Jan 13, 08:00 pm",0,0,7.8,0,2.1
"Jan 13, 09:00 pm",0,0,8.3,0,3.1
"Jan 13, 10:00 pm",0,0,7.8,0,1.5
"Jan 13, 11:00 pm",0,0,7.8,0,1.5
"Jan 14, 12:00 am",0,0,7.8,0,2.6
"Jan 14, 01:00 am",0,0,7.2,0,2.1
"Jan 14, 02:00 am",0,0,7.8,0,0
"Jan 14, 03:00 am",0,0,7.8,0,2.1
"Jan 14, 04:00 am",0,0,7.8,0,2.1
"Jan 14, 05:00 am",0,0,7.8,0,2.6
"Jan 14, 06:00 am",0,0,8.3,0,2.6
"Jan 14, 07:00 am",16.065,17,8.3,71.9134,4.1
"Jan 14, 08:00 am",65.6379,69,8.3,59.1879,4.1
"Jan 14, 09:00 am",97.6615,104,8.3,46.2557,3.1
"Jan 14, 10:00 am",138.09,146,8.9,34.6644,4.6
"Jan 14, 11:00 am",178.28,185,9.4,26.3217,4.6
"Jan 14, 12:00 pm",178.258,186,9.4,24.7917,4.6
"Jan 14, 01:00 pm",149.041,157,10,31.1005,4.1
"Jan 14, 02:00 pm",114.022,122,10,41.8306,4.6
"Jan 14, 03:00 pm",76.3957,82,9.4,54.4044,3.1
"Jan 14, 04:00 pm",51.4489,51,10,67.7448,2.6
"Jan 14, 05:00 pm",4.68124,5,9.4,75.7711,3.6
"Jan 14, 06:00 pm",0,0,9.4,0,4.1
"Jan 14, 07:00 pm",0,0,8.9,0,4.1
"Jan 14, 08:00 pm",0,0,8.9,0,3.1
"Jan 14, 09:00 pm",0,0,8.9,0,3.6
"Jan 14, 10:00 pm",0,0,7.8,0,2.6
"Jan 14, 11:00 pm",0,0,8.9,0,2.6
"Jan 15, 12:00 am",0,0,8.9,0,3.6
"Jan 15, 01:00 am",0,0,9.4,0,2.6
"Jan 15, 02:00 am",0,0,8.9,0,2.1
"Jan 15, 03:00 am",0,0,8.9,0,2.1
"Jan 15, 04:00 am",0,0,8.9,0,3.1
"Jan 15, 05:00 am",0,0,8.9,0,2.1
"Jan 15, 06:00 am",0,0,9.4,0,2.1
"Jan 15, 07:00 am",37.7326,36,9.4,71.9843,0
"Jan 15, 08:00 am",71.484,75,9.4,59.2148,2.1
"Jan 15, 09:00 am",115.552,121,10.6,46.2496,2.6
"Jan 15, 10:00 am",162.008,169,10.6,34.6078,2.1
"Jan 15, 11:00 am",163.745,171,11.7,26.1902,2.6
"Jan 15, 12:00 pm",182.485,190,11.7,24.5982,2.6
"Jan 15, 01:00 pm",267.11,266,12.2,30.9092,2.6
"Jan 15, 02:00 pm",217.174,215,12.8,41.6654,2.6
"Jan 15, 03:00 pm",164.423,158,12.8,54.2637,3.1
"Jan 15, 04:00 pm",57.5382,56,12.8,67.6257,2.1
"Jan 15, 05:00 pm",5.61749,6,12.2,75.7734,3.6
"Jan 15, 06:00 pm",0,0,12.2,0,0
"Jan 15, 07:00 pm",0,0,12.2,0,2.6
"Jan 15, 08:00 pm",0,0,12.8,0,1.5
"Jan 15, 09:00 pm",0,0,11.7,0,2.6
"Jan 15, 10:00 pm",0,0,11.7,0,2.1
"Jan 15, 11:00 pm",0,0,11.7,0,3.1
"Jan 16, 12:00 am",0,0,12.2,0,3.6
"Jan 16, 01:00 am",0,0,11.7,0,2.6
"Jan 16, 02:00 am",0,0,12.2,0,1.5
"Jan 16, 03:00 am",0,0,11.7,0,3.6
"Jan 16, 04:00 am",0,0,11.7,0,3.1
"Jan 16, 05:00 am",0,0,11.7,0,3.1
"Jan 16, 06:00 am",0,0,11.7,0,4.1
"Jan 16, 07:00 am",46.8879,42,11.7,72.0553,4.1
"Jan 16, 08:00 am",148.668,141,11.7,59.2378,4.6
"Jan 16, 09:00 am",202.924,199,11.7,46.239,3.1
"Jan 16, 10:00 am",287.915,281,11.7,34.546,4.6
"Jan 16, 11:00 am",331.871,324,11.7,26.0523,3.1
"Jan 16, 12:00 pm",320.363,314,11.7,24.3987,3.6
"Jan 16, 01:00 pm",317.083,308,11.7,30.7145,5.2
"Jan 16, 02:00 pm",226.141,223,11.7,41.499,4.1
"Jan 16, 03:00 pm",172.623,166,11.7,54.1231,4.6
"Jan 16, 04:00 pm",67.7921,65,11.7,67.5076,3.6
"Jan 16, 05:00 pm",8.42623,9,11.7,75.7779,2.6
"Jan 16, 06:00 pm",0,0,11.7,0,2.6
"Jan 16, 07:00 pm",0,0,11.1,0,2.6
"Jan 16, 08:00 pm",0,0,11.1,0,3.6
"Jan 16, 09:00 pm",0,0,10.6,0,3.6
"Jan 16, 10:00 pm",0,0,10.6,0,4.1
"Jan 16, 11:00 pm",0,0,10.6,0,3.1
"Jan 17, 12:00 am",0,0,10,0,3.1
"Jan 17, 01:00 am",0,0,10,0,3.6
"Jan 17, 02:00 am",0,0,9.4,0,3.6
"Jan 17, 03:00 am",0,0,10,0,2.1
"Jan 17, 04:00 am",0,0,9.4,0,3.1
"Jan 17, 05:00 am",0,0,10,0,3.1
"Jan 17, 06:00 am",0,0,10,0,2.1
"Jan 17, 07:00 am",30.6464,32,10,72.1265,3.6
"Jan 17, 08:00 am",105.742,106,10,59.257,3.1
"Jan 17, 09:00 am",191.005,190,10.6,46.2239,2.1
"Jan 17, 10:00 am",257.941,256,11.7,34.479,4.6
"Jan 17, 11:00 am",161.651,170,12.2,25.9082,2.6
"Jan 17, 12:00 pm",175.998,184,11.7,24.1932,3.6
"Jan 17, 01:00 pm",152.919,160,11.1,30.5166,3.1
"Jan 17, 02:00 pm",117.62,125,11.7,41.3317,4.1
"Jan 17, 03:00 pm",75.5404,81,11.7,53.9829,2.1
"Jan 17, 04:00 pm",28.202,31,11.7,67.3907,5.2
"Jan 17, 05:00 pm",2.80874,3,11.7,75.7849,6.2
"Jan 17, 06:00 pm",0,0,11.7,0,5.7
"Jan 17, 07:00 pm",0,0,11.7,0,5.7
"Jan 17, 08:00 pm",0,0,11.7,0,3.1
"Jan 17, 09:00 pm",0,0,11.7,0,3.1
"Jan 17, 10:00 pm",0,0,11.7,0,9.3
"Jan 17, 11:00 pm",0,0,12.2,0,6.2
"Jan 18, 12:00 am",0,0,12.2,0,5.2
"Jan 18, 01:00 am",0,0,12.2,0,5.2
"Jan 18, 02:00 am",0,0,12.2,0,6.7
"Jan 18, 03:00 am",0,0,12.8,0,2.6
"Jan 18, 04:00 am",0,0,12.8,0,3.6
"Jan 18, 05:00 am",0,0,13.3,0,3.1
"Jan 18, 06:00 am",0,0,13.9,0,4.1
"Jan 18, 07:00 am",20.9255,23,13.9,72.1978,2.1
"Jan 18, 08:00 am",69.156,74,13.9,59.2723,1.5
"Jan 18, 09:00 am",113.253,120,14.4,46.2045,2.1
"Jan 18, 10:00 am",162.547,169,14.4,34.4068,3.1
"Jan 18, 11:00 am",163.511,172,15,25.758,1.5
"Jan 18, 12:00 pm",191.341,198,15,23.9819,2.1
"Jan 18, 01:00 pm",163.378,171,14.4,30.3156,3.1
"Jan 18, 02:00 pm",141.541,147,13.9,41.1635,2.6
"Jan 18, 03:00 pm",162.851,158,13.9,53.8431,5.7
"Jan 18, 04:00 pm",31.8615,35,12.2,67.275,3.6
"Jan 18, 05:00 pm",3.74499,4,10,75.7942,7.2
"Jan 18, 06:00 pm",0,0,8.9,0,3.6
"Jan 18, 07:00 pm",0,0,8.3,0,4.6
"Jan 18, 08:00 pm",0,0,8.3,0,5.2
"Jan 18, 09:00 pm",0,0,7.8,0,6.2
"Jan 18, 10:00 pm",0,0,7.8,0,5.2
"Jan 18, 11:00 pm",0,0,7.8,0,6.2
"Jan 19, 12:00 am",0,0,6.1,0,9.3
"Jan 19, 01:00 am",0,0,5,0,8.8
"Jan 19, 02:00 am",0,0,2.8,0,7.2
"Jan 19, 03:00 am",0,0,2.2,0,6.7
"Jan 19, 04:00 am",0,0,1.7,0,6.2
"Jan 19, 05:00 am",0,0,1.1,0,6.2
"Jan 19, 06:00 am",0,0,0.6,0,5.2
"Jan 19, 07:00 am",72.1347,47,1.1,72.2692,4.6
"Jan 19, 08:00 am",283.871,177,1.7,59.2837,6.7
"Jan 19, 09:00 am",580.01,363,2.8,46.1806,5.2
"Jan 19, 10:00 am",805.403,522,3.9,34.3294,4.6
"Jan 19, 11:00 am",898.318,594,5,25.6017,5.7
"Jan 19, 12:00 pm",920.487,609,6.1,23.7648,4.1
"Jan 19, 01:00 pm",859.079,559,7.2,30.1117,4.1
"Jan 19, 02:00 pm",709.353,442,7.2,40.9946,5.7
"Jan 19, 03:00 pm",456.469,262,7.2,53.704,6.7
"Jan 19, 04:00 pm",157.859,95,5,67.1607,4.6
"Jan 19, 05:00 pm",8.76059,8,3.9,75.806,4.6
"Jan 19, 06:00 pm",0,0,2.2,0,5.2
"Jan 19, 07:00 pm",0,0,2.2,0,5.2
"Jan 19, 08:00 pm",0,0,1.7,0,4.6
